a	eɪ
chaetingaebiran	k iː t ɪ ŋ ɡ iː b ɜː ɹ ə n
chaeuji	k iː j uː dʒ i
chaeuntaegi	k iː ə n t iː ɡ ɪ
chaeupnida	k iː ə p n ɪ d ə
chaewo	k iː w əʊ
chaeyonggonggoreul	k iː j ə ŋ ɡ ɒ ŋ ɡ ɔː ɹ uː l
chaeyonghago	k iː j ə ŋ h eɪ ɡ əʊ
chaga	tʃ ɑː ɡ ə
chagaun	tʃ a ɡ ɔː n
chageunchageun	tʃ a dʒ j uː n tʃ a dʒ j uː n
chagi	tʃ ɑː ɡ ɪ
chago	tʃ eɪ ɡ əʊ
chagwan	tʃ a ɡ w ə n
chagwani	tʃ a ɡ w ɑː n i
chagwanui	tʃ a ɡ w ɐ n j uː i
chagyonghan	tʃ a dʒ ɪ ɒ ŋ h ə n
chai	tʃ aɪ
chaiga	tʃ eɪ ɡ ə
chaigeul	tʃ eɪ dʒ j uː l
chaiinde	tʃ aɪ ɪ n d
chainamobailgwa	tʃ eɪ n ɐ m ɒ b eɪ l ɡ w ə
chaja	tʃ ɑː dʒ ə
chajadanyeotjiman	tʃ a dʒ ɐ d a n j əʊ t dʒ ɪ m ə n
chajadeun	tʃ a dʒ ɐ d j uː n
chajagal	tʃ a dʒ a ɡ əl
chajagatseupnida	tʃ a dʒ ɐ ɡ a t s j uː p n ɪ d ə
chajang	tʃ a dʒ a ŋ
chajanggeomsaga	tʃ a dʒ ɐ ŋ dʒ ɪ ə m s ɑː ɡ ə
chajanggeomsaro	tʃ a dʒ ɐ ŋ dʒ ɪ ə m s a ɹ əʊ
chajanggeomsawa	tʃ a dʒ ɐ ŋ dʒ ɪ ə m s ɑː w ə
chajaoneun	tʃ a dʒ eɪ ɒ n j uː n
chajasseul	tʃ a dʒ ɐ s j uː l
chajatda	tʃ a dʒ a t d ə
chajatjiman	tʃ a dʒ ɐ t dʒ ɪ m ə n
chajatneunde	tʃ a dʒ ɐ t n j uː n d
chajawatdago	tʃ a dʒ ɐ w ə t d eɪ ɡ əʊ
chajeul	tʃ a dʒ j uː l
chajeumyeon	tʃ a dʒ j uː m j əʊ n
chajeuryeogo	tʃ a dʒ j uː r j əʊ ɡ əʊ
chajihaetda	tʃ a dʒ ɪ h iː t d ə
chajihage	tʃ a dʒ ɪ h ɪ dʒ
chajihan	tʃ a dʒ ɪ h a n
chajihaneun	tʃ a dʒ ɪ h a n j uː n
chajihapnida	tʃ a dʒ ɪ h a p n ɪ d ə
chajil	tʃ a dʒ ɪ l
chajireul	tʃ a dʒ aɪə ɹ ʌ l
chajong	tʃ a dʒ ɒ ŋ
chakgakhaetseupnida	tʃ a k ɡ ɐ k h iː t s j uː p n ɪ d ə
chakgong	tʃ a k ɡ ɒ ŋ
chakgongdwaeseo	tʃ a k ɡ ɒ ŋ d w iː s eɪ əʊ
chakjaphan	tʃ a k dʒ a f ə n
chakryukhaetda	tʃ a k r j uː k h iː t d ə
chakryukhaneun	tʃ a k r j uː k h a n j uː n
chaksilhage	tʃ a k s ɪ l h ɪ dʒ
chaksinjeonhwan	tʃ a k s ɪ n dʒ ɪ ɒ n h w ə n
chaksuhae	tʃ a k s uː h iː
chaksuhaetda	tʃ a k s uː h iː t d ə
chal	tʃ a l
chalseu	tʃ a l s j uː
cham	tʃ a m
chamchireul	tʃ a m k aɪ ɹ uː l
chamdamhada	tʃ a m d ɐ m h ɑː d ə
chamdamhan	tʃ a m d a m h ə n
chameulseongeul	tʃ a m j uː l s ɪ ɒ n dʒ j uː l
chameuro	tʃ a m j uː ɹ əʊ
chamga	tʃ a m ɡ ə
chamgajadeureun	tʃ a m ɡ ɐ dʒ a d j uː ɹ uː n
chamgiga	tʃ a m dʒ ɪ ɡ ə
chamgo	tʃ a m ɡ əʊ
chamgoin	tʃ a m ɡ ɔɪ n
chamgoseo	tʃ a m ɡ əʊ s ɪ əʊ
chamgwaneul	tʃ a m ɡ w eɪ n ʌ l
chamjohamyeon	tʃ a m dʒ əʊ h a m j əʊ n
chamkkaega	tʃ a m k iː ɡ ə
chammodeulgwa	tʃ a m əʊ d ʌ l ɡ w ə
chammodeureun	tʃ a m əʊ d j uː ɹ uː n
chamsa	tʃ a m s ə
chamseok	tʃ a m s ɪ ɒ k
chamseokhae	tʃ a m s ɪ ɒ k h iː
chamseokhaetda	tʃ a m s ɪ ɒ k h iː t d ə
chamseokhaetseupnida	tʃ a m s ɪ ɒ k h iː t s j uː p n ɪ d ə
chamseokhaljineun	tʃ a m s ɪ ɒ k h ɐ l dʒ aɪ n ʌ n
chamseokhan	tʃ a m s ɪ ɒ k h ə n
chamseokhaneun	tʃ a m s ɪ ɒ k h ɐ n j uː n
chamseokjadeuri	tʃ a m s ɪ ɒ k dʒ ɐ d j uː ɹ i
chamseokjaui	tʃ a m s ɪ ɒ k dʒ ɔː i
chamyeo	tʃ a m ɪ eɪ əʊ
chamyeohaeon	tʃ a m j əʊ h iː ɒ n
chamyeohaeseo	tʃ a m j əʊ h iː s eɪ əʊ
chamyeohaetda	tʃ a m j əʊ h iː t d ə
chamyeohaetneunjido	tʃ a m j əʊ h iː t n j uː n dʒ iː d əʊ
chamyeohage	tʃ a m j əʊ h ɪ dʒ
chamyeohago	tʃ a m j əʊ h eɪ ɡ əʊ
chamyeohaji	tʃ a m j əʊ h a dʒ i
chamyeohal	tʃ a m j əʊ h əl
chamyeohan	tʃ a m j əʊ h a n
chamyeohaneun	tʃ a m j əʊ h a n j uː n
chamyeoinwoni	tʃ a m ɪ ɪ ɔɪ n w əʊ n i
chamyeoneun	tʃ a m j əʊ n j uː n
chamyeosikin	tʃ a m j əʊ s ɪ k ɪ n
chamyeowa	tʃ a m j əʊ w ə
chan	tʃ a n
chanban	tʃ a n b ə n
chanbaneul	tʃ a n b ɐ n j uː l
chanbarami	tʃ a n b ɐ ɹ ɑː m i
changchul	tʃ a ŋ tʃ ʌ l
changeop	tʃ eɪ n dʒ ə p
changeophae	tʃ eɪ n dʒ ə f iː
changeopjada	tʃ eɪ n dʒ ə p dʒ ɑː d ə
changeopjuga	tʃ eɪ n dʒ ə p dʒ uː ɡ ə
changeopjuyeotdeon	tʃ eɪ n dʒ ə p dʒ aɪ ɪ ɒ t d ɪ ə n
changeopsijangeseo	tʃ eɪ n dʒ ə p s ɪ dʒ ɐ n dʒ ɪ s eɪ əʊ
changgeon	tʃ a ŋ dʒ ə n
changgoga	tʃ a ŋ ɡ əʊ ɡ ə
changgwol	tʃ a ŋ ɡ w ɒ l
changjodoeeotseupnida	tʃ a ŋ dʒ ə d əʊ ɪ ɒ t s j uː p n ɪ d ə
changjoe	tʃ a ŋ dʒ əʊ
changjogyeongjereul	tʃ a ŋ dʒ ə dʒ j əʊ ŋ dʒ ə ɹ uː l
changjogyeongjeui	tʃ a ŋ dʒ ə dʒ j əʊ ŋ dʒ j uː i
changjohangukdang	tʃ a ŋ dʒ əʊ h a ŋ ɡ ə k d a ŋ
changjohasigido	tʃ a ŋ dʒ əʊ h a s ɪ dʒ iː d əʊ
changjohasyeotgo	tʃ a ŋ dʒ əʊ h ɐ s j əʊ t ɡ əʊ
changjojuui	tʃ a ŋ dʒ ə dʒ uː i
changjonongeobiramyeonseo	tʃ a ŋ dʒ ə n ɒ n dʒ ɪ ɒ b ə ɹ a m j əʊ n s eɪ əʊ
changjoseongi	tʃ a ŋ dʒ əʊ s ɪ ɒ ŋ ɡ i
changmun	tʃ a ŋ m ʌ n
changmune	tʃ a ŋ m j uː n
changmuneul	tʃ a ŋ m ə n j uː l
changmuni	tʃ a ŋ m uː n i
changsaui	tʃ a ŋ s ɔː i
changwon	tʃ a ŋ w ʌ n
changwoneseon	tʃ a ŋ w ə n ɛ s ɪ ə n
changwongigyegongeopdanjireul	tʃ a ŋ w ə n dʒ ɪ dʒ ɪ ɛ ɡ ɒ n dʒ ɪ ɒ p d ɐ n dʒ aɪə ɹ ʌ l
changwonjigeome	tʃ a ŋ w ə n dʒ ɪ dʒ ə m
changwonsieseo	tʃ a ŋ w ə n s ɪ s eɪ əʊ
changwonsiwaui	tʃ a ŋ w ə n s ɪ w ɔː i
chanhomeun	tʃ a n h əʊ m ʌ n
chanjangcheoreom	tʃ a n dʒ ɐ ŋ tʃ ɪ ɔː ɹ ɪ ə m
chanmihae	tʃ a n m ɪ h iː
chanmureul	tʃ a n m j ʊə ɹ uː l
chansaga	tʃ a n s ɑː ɡ ə
chanseong	tʃ a n s ɪ ɒ ŋ
charaneun	tʃ a ɹ ə n ʌ n
chareul	tʃ eə ɹ ʌ l
charigo	tʃ ɑː ɹ ɪ ɡ əʊ
charime	tʃ ɑː ɹ aɪ m
charimeuro	tʃ ɑː ɹ aɪ m j uː ɹ əʊ
charimsaega	tʃ ɑː ɹ ɪ m s iː ɡ ə
charo	tʃ a ɹ əʊ
charoin	tʃ a ɹ ɔɪ n
charyang	tʃ ɑː j a ŋ
charyange	tʃ ɑː j a ŋ
charyangeul	tʃ ɑː j a ŋ j uː l
charyangeuro	tʃ ɑː j a ŋ j uː ɹ əʊ
charyanggwa	tʃ ɑː j a ŋ ɡ w ə
charyangi	tʃ ɑː j a ŋ i
charyangsago	tʃ ɑː j a ŋ s eɪ ɡ əʊ
charyangui	tʃ ɑː j a ŋ w i
charyangyujibiro	tʃ ɑː j a ŋ j uː dʒ ɪ b iə ɹ əʊ
charye	tʃ ɑː ɹ aɪ
charyee	tʃ ɑː ɹ ɪ iː
charyena	tʃ ɑː ɹ ɪ iː n ə
charyereul	tʃ ɑː ɹ ɪ ə ɹ uː l
charyessik	tʃ ɑː ɹ ɪ ɛ s ɪ k
charyeui	tʃ ɑː ɹ ɪ j uː i
chasedae	tʃ eɪ s d iː
chaseoneul	tʃ eɪ s əʊ n ʌ l
chassiwa	ʃ a s ɪ w ə
chatgapseuro	tʃ a t ɡ ɐ p s j uː ɹ əʊ
chatgetdago	tʃ a t ɡ ɪ t d eɪ ɡ əʊ
chatgi	tʃ a t ɡ ɪ
chatgineun	tʃ a t dʒ ɪ n j uː n
chatgirado	tʃ a t dʒ ə ɹ ɑː d əʊ
chatgo	tʃ a t ɡ əʊ
chatji	tʃ a t dʒ i
chatneun	tʃ a t n j uː n
chatneundago	tʃ a t n j uː n d eɪ ɡ əʊ
chatseupnida	tʃ a t s j uː p n ɪ d ə
chaumuiwon	tʃ ɔː m j uː iː w ə n
chawon	tʃ a w ʌ n
chawoni	tʃ a w əʊ n i
chawonieotdaneun	tʃ a w ə n ɪ ə t d a n j uː n
chawonui	tʃ a w ə n j uː i
cheaegeul	tʃ iː ɪ dʒ j uː l
chebulhaetdaneun	tʃ ɛ b ə l h iː t d ɐ n j uː n
chegamhaneun	tʃ ɛ ɡ ɐ m h a n j uː n
chegyeoge	tʃ ɛ dʒ j əʊ dʒ
chegyeolhaetgo	tʃ ɛ dʒ j əʊ l h iː t ɡ əʊ
chegyereul	tʃ ɛ dʒ ɪ ə ɹ uː l
chehyeong	tʃ eɪ j əʊ ŋ
chejega	tʃ ɛ dʒ ɛ ɡ ə
chejekkaji	tʃ ɛ dʒ ɪ k a dʒ i
chejeneun	tʃ ɛ dʒ ə n j uː n
chejereul	tʃ ɛ dʒ ə ɹ uː l
chejeunge	tʃ ɛ dʒ j uː n dʒ
chejewa	tʃ ɛ dʒ w ə
chejireul	tʃ ɛ dʒ aɪə ɹ ʌ l
chejung	tʃ ɛ dʒ ʌ ŋ
chejungi	tʃ ɛ dʒ ʌ ŋ ɡ i
chekeu	tʃ ɛ k j uː
chelsi	tʃ ɛ l s i
chelsiga	tʃ ɛ l s ɪ ɡ ə
cheobangil	tʃ ɪ ɒ b ɐ ŋ ɡ ɪ l
cheobeol	tʃ ɪ əʊ b ɒ l
cheobeolbadeul	tʃ ɪ əʊ b ə l b a d j uː l
cheobeolbatneun	tʃ ɪ əʊ b ə l b a t n j uː n
cheobeoldoeji	tʃ ɪ əʊ b əʊ l d əʊ dʒ i
cheobeolgwa	tʃ ɪ əʊ b ɒ l ɡ w ə
cheobeolhadorok	tʃ ɪ əʊ b ə l h a d ɔː ɹ ɒ k
cheobeolhagiro	tʃ ɪ əʊ b ə l h ɐ dʒ iə ɹ əʊ
cheobeolhal	tʃ ɪ əʊ b ɒ l h əl
cheobeoreul	tʃ ɪ əʊ b ɔː ɹ uː l
cheobeoreun	tʃ ɪ əʊ b ɔː ɹ uː n
cheobeori	tʃ ɪ əʊ b ɔː ɹ i
cheobun	tʃ ɪ ɒ b ʌ n
cheobuneul	tʃ ɪ ɒ b ə n j uː l
cheoe	tʃ ɪ əʊ
cheoeum	tʃ ɪ əʊ ə m
cheoeumboda	tʃ ɪ əʊ ə m b əʊ d ə
cheoeumbuteo	tʃ ɪ əʊ ə m b j uː t eɪ əʊ
cheoeumcheoreomi	tʃ ɪ əʊ ə m tʃ ɪ ɔː ɹ ɪ əʊ m i
cheoeume	tʃ ɪ əʊ j uː m
cheoeumen	tʃ ɪ əʊ j uː m ɛ n
cheoeumeuro	tʃ ɪ əʊ j uː m j uː ɹ əʊ
cheoeumida	tʃ ɪ əʊ j uː m ɪ d ə
cheoeumin	tʃ ɪ əʊ j uː m ɪ n
cheoga	tʃ ɪ əʊ ɡ ə
cheogaga	tʃ ɪ ə ɡ ɑː ɡ ə
cheogi	tʃ ɪ əʊ ɡ ɪ
cheohal	tʃ ɪ əʊ h əl
cheohan	tʃ ɪ əʊ h a n
cheohandago	tʃ ɪ əʊ h ɐ n d eɪ ɡ əʊ
cheojie	tʃ ɪ əʊ dʒ i
cheojiida	tʃ ɪ əʊ dʒ ɪ ɪ d ə
cheojirago	tʃ ɪ ɒ dʒ ə ɹ eɪ ɡ əʊ
cheojiro	tʃ ɪ ə dʒ iə ɹ əʊ
cheokchuro	tʃ ɪ ə k tʃ j ʊə ɹ əʊ
cheokchuwa	tʃ ɪ ɒ k tʃ uː w ə
cheokgwa	tʃ ɪ ɒ k ɡ w ə
cheokgyeol	tʃ ɪ ɒ k dʒ j əʊ l
cheoksureul	tʃ ɪ ɒ k s ə ɹ uː l
cheol	tʃ ɪ ɒ l
cheolgangeuro	tʃ ɪ ɒ l ɡ ɐ n dʒ j uː ɹ əʊ
cheolgeo	tʃ ɪ ə l dʒ eɪ əʊ
cheolgeodoel	tʃ ɪ ɒ l dʒ ɪ ɒ d əʊ l
cheolgeohago	tʃ ɪ ɒ l dʒ ɪ ə h eɪ ɡ əʊ
cheolgeohan	tʃ ɪ ɒ l dʒ ɪ ɒ h a n
cheolgeomin	tʃ ɪ ɒ l dʒ ɪ ɒ m ɪ n
cheolhageul	tʃ ɪ ɒ l h ɐ dʒ j uː l
cheolhagi	tʃ ɪ ə l h ɑː ɡ ɪ
cheolhoereul	tʃ ɪ ɒ l h əʊ ə ɹ uː l
cheoljaeneun	tʃ ɪ ɒ l j iː n j uː n
cheolje	tʃ ɪ ɒ l dʒ
cheoljegujomuldeureul	tʃ ɪ ɒ l dʒ ɪ ɡ j uː dʒ ə m ʌ l d j uː ɹ uː l
cheoljeohan	tʃ ɪ ɒ l dʒ ɪ əʊ h a n
cheoljeohi	tʃ ɪ ɒ l dʒ ɪ əʊ h ɪ
cheoljinan	tʃ ɪ ɒ l dʒ ɪ n ə n
cheolsuhagi	tʃ ɪ ɒ l s uː h ɑː ɡ ɪ
cheomdanbeomjoesusa	tʃ ɪ ɒ m d ɐ n b ɪ ɒ m dʒ əʊ s j uː s ə
cheomgadangeul	tʃ ɪ ɒ m ɡ ɐ d a n dʒ j uː l
cheon	tʃ ə n
cheonanham	tʃ ə n a n ə m
cheoncheonhi	tʃ ə n tʃ ə n h ɪ
cheondung	tʃ ə n d ʌ ŋ
cheoneogwon	tʃ ə n ɪ ɒ ɡ w ə n
cheoneok	tʃ ə n ɪ ɒ k
cheongchwihaetda	tʃ ə ŋ ɡ tʃ w ɪ h iː t d ə
cheongchwihal	tʃ ə ŋ ɡ tʃ w ɪ h əl
cheongdoguneun	tʃ ə ŋ ɡ d ɒ ɡ ə n j uː n
cheonggak	tʃ ə ŋ ɡ a k
cheonggu	tʃ ə ŋ ɡ uː
cheonggudoen	tʃ ə ŋ ɡ j uː d əʊ n
cheongguga	tʃ ə ŋ ɡ uː ɡ ə
cheongguhan	tʃ ə ŋ ɡ j uː h a n
cheongguhaneun	tʃ ə ŋ ɡ j uː h ɐ n j uː n
cheonggyejaedanui	tʃ ə ŋ ɡ ɪ ɛ j iː d a n j uː i
cheonggyeolhage	tʃ ə ŋ ɡ j əʊ l h ɪ dʒ
cheonggyeolhan	tʃ ə ŋ ɡ j əʊ l h ə n
cheonghaejin	tʃ ə ŋ ɡ iː dʒ ɪ n
cheonghaja	tʃ ə ŋ ɡ ɑː dʒ ə
cheongjang	tʃ ə ŋ ɡ dʒ a ŋ
cheongjangeul	tʃ ə ŋ ɡ dʒ a n dʒ j uː l
cheongjeongwon	tʃ ə ŋ ɡ dʒ ɪ ɒ ŋ w ə n
cheongjungui	tʃ ə ŋ ɡ dʒ ʌ ŋ ɡ w i
cheongjusi	tʃ ə ŋ ɡ dʒ uː s i
cheongjuui	tʃ ə ŋ ɡ dʒ uː i
cheongmunbogoseoga	tʃ ə ŋ ɡ m ʌ n b ə ɡ əʊ s əʊ ɡ ə
cheongmunhoe	tʃ ə ŋ ɡ m ʌ n h əʊ
cheongmunhoeeseo	tʃ ə ŋ ɡ m ʌ n h əʊ ɪ s eɪ əʊ
cheongnamdaeeneun	tʃ ə ŋ ɡ n a m d iː ɛ n j uː n
cheongnyeon	tʃ ə ŋ ɡ n j əʊ n
cheongnyeonsireop	tʃ ə ŋ ɡ n j əʊ n s aɪə ɹ ə p
cheongnyeonui	tʃ ə ŋ ɡ n j əʊ n j uː i
cheongryeogui	tʃ ə ŋ ɡ r j əʊ ɡ w i
cheongryeom	tʃ ə ŋ ɡ r j əʊ m
cheongryeomsahoe	tʃ ə ŋ ɡ r j əʊ m s ɐ h əʊ
cheongsajindo	tʃ ə ŋ ɡ s ɐ dʒ ɪ n d əʊ
cheongsan	tʃ ə ŋ ɡ s a n
cheongsaneul	tʃ ə ŋ ɡ s a n j uː l
cheongsinhorago	tʃ ə ŋ ɡ s ɪ n h ɔː ɹ eɪ ɡ əʊ
cheongso	tʃ ə ŋ ɡ s əʊ
cheongsonyeon	tʃ ə ŋ ɡ s ɒ n j əʊ n
cheongsonyeondeul	tʃ ə ŋ ɡ s ɒ n j əʊ n d j uː l
cheongsonyeondeureul	tʃ ə ŋ ɡ s ɒ n j əʊ n d j uː ɹ uː l
cheongsonyeondeureun	tʃ ə ŋ ɡ s ɒ n j əʊ n d j uː ɹ uː n
cheongsonyeondeuri	tʃ ə ŋ ɡ s ɒ n j əʊ n d j uː ɹ i
cheongsonyeondeurui	tʃ ə ŋ ɡ s ɒ n j əʊ n d j uː ɹ uː i
cheongsonyeoneul	tʃ ə ŋ ɡ s ɒ n j əʊ n j uː l
cheongsonyeoneun	tʃ ə ŋ ɡ s ɒ n j əʊ n j uː n
cheongsonyeoni	tʃ ə ŋ ɡ s ɒ n j əʊ n i
cheongsonyeonui	tʃ ə ŋ ɡ s ɒ n j əʊ n j uː i
cheongtageul	tʃ ə ŋ ɡ t a dʒ j uː l
cheonguk	tʃ ə ŋ ɡ ʌ k
cheongundongjuminsenteo	tʃ ə ŋ ɡ ʌ n d ə ŋ dʒ uː m ɪ n s ə n t eɪ əʊ
cheongwadae	tʃ ə ŋ ɡ w ɒ d iː
cheongwadaebal	tʃ ə ŋ ɡ w ɒ d iː b əl
cheongwadaeeseo	tʃ ə ŋ ɡ w ɒ d iː ɪ s eɪ əʊ
cheongwadaega	tʃ ə ŋ ɡ w ɒ d iː ɡ ə
cheongwadaeneun	tʃ ə ŋ ɡ w ɒ d iː n j uː n
cheongwadaereul	tʃ ə ŋ ɡ w ɒ d eə ɹ uː l
cheongwadaero	tʃ ə ŋ ɡ w ə d eə ɹ əʊ
cheongwadaeroseon	tʃ ə ŋ ɡ w ɒ d eə ɹ əʊ s ɪ ə n
cheongwadaeui	tʃ ə ŋ ɡ w ɒ d iː j uː i
cheongwadaewa	tʃ ə ŋ ɡ w ɒ d iː w ə
cheongyak	tʃ ə n dʒ ɪ a k
cheonhajeirida	tʃ ə n h a dʒ eə ɹ ɪ d ə
cheonhwangi	tʃ ə n h w a ŋ ɡ i
cheoni	tʃ ə n i
cheonjang	tʃ ə n dʒ a ŋ
cheonjanggwa	tʃ ə n dʒ a ŋ ɡ w ə
cheonjeongbae	tʃ ə n dʒ ɪ ɒ ŋ b iː
cheonjeongbujiro	tʃ ə n dʒ ɪ ɒ ŋ b j uː dʒ iə ɹ əʊ
cheonjineun	tʃ ə n dʒ aɪ n ʌ n
cheonman	tʃ ə n m a n
cheonmanui	tʃ ə n m a n j uː i
cheonmanwondae	tʃ ə n m a n w ə n d iː
cheonmanwoni	tʃ ə n m ɐ n w əʊ n i
cheonmunhagi	tʃ ə n m ə n h ɑː ɡ ɪ
cheonmunhakgwa	tʃ ə n m ʌ n h a k ɡ w ə
cheonmunhakjeogin	tʃ ə n m ʌ n h ɐ k dʒ ɪ ɒ dʒ ɪ n
cheonmyeongeul	tʃ ə n m j əʊ n dʒ j uː l
cheonmyeongkkaji	tʃ ə n m j əʊ ŋ k a dʒ i
cheonsadeurirago	tʃ ə n s a d j uː ɹ ə ɹ eɪ ɡ əʊ
cheonsaga	tʃ ə n s ɑː ɡ ə
cheonsaui	tʃ ə n s ɔː i
cheonwon	tʃ ə n w ʌ n
cheonyeo	tʃ ə n ɪ eɪ əʊ
cheonyeomanwonui	tʃ ə n j əʊ m ɐ n w ʌ n j uː i
cheonyeongaseueopchein	tʃ ə n j əʊ ŋ ɡ ɐ s j uː ɪ ɒ p tʃ iː n
cheonyeongaseuui	tʃ ə n j əʊ ŋ ɡ ɐ s j uː j uː i
cheonyeongwail	tʃ ə n j əʊ ŋ w eɪ l
cheopboreul	tʃ ɪ ɒ p b ɔː ɹ uː l
cheoridoego	tʃ ɪ ɔː ɹ ɪ d əʊ ɡ əʊ
cheoridoen	tʃ ɪ ɔː ɹ ɪ d əʊ n
cheorihae	tʃ ɪ ɔː ɹ ɪ h iː
cheorihaeya	tʃ ɪ ɔː ɹ ɪ h iː j ə
cheorihal	tʃ ɪ ɔː ɹ ɪ h əl
cheorihanda	tʃ ɪ ɔː ɹ ɪ h a n d ə
cheorireul	tʃ ɪ ɔː ɹ aɪə ɹ ʌ l
cheosineul	tʃ ɪ ɒ s aɪ n ʌ l
cheot	tʃ ɪ ɒ t
cheotbeonjjae	tʃ ɪ ɒ t b ɪ ɒ n j iː
cheotbeonjjaeneun	tʃ ɪ ɒ t b ɪ ɒ n j iː n j uː n
cheotchulbareul	tʃ ɪ ɒ tʃ ə l b eə ɹ ʌ l
cheotgyeongmae	tʃ ɪ ɒ t dʒ j əʊ ŋ m iː
cheothae	tʃ ɪ ɒ θ iː
cheotjjaero	tʃ ɪ ə t j eə ɹ əʊ
cheou	tʃ ɪ uː
chepo	tʃ iː p əʊ
chepodoeeosseumyeo	tʃ ɛ p ə d əʊ ɪ ɒ s j uː m ɪ eɪ əʊ
chepodwaetda	tʃ ɛ p ə d w iː t d ə
chepohae	tʃ ɛ p əʊ h iː
chepoyeongjangi	tʃ ɛ p ɔɪ ɪ ɒ ŋ dʒ a ŋ ɡ i
cheryeogeul	tʃ ə j ɪ əʊ dʒ ʌ l
cheryeogiyamalro	tʃ ə j ɪ ɒ dʒ ɪ j ɐ m a l ɹ əʊ
cheryugiganeun	tʃ ə j j uː dʒ ɪ ɡ a n j uː n
cheryuhamyeonseo	tʃ ə j j uː h ɐ m j əʊ n s eɪ əʊ
chetbakwi	tʃ ɛ t b a k w i
cheuge	tʃ j uː dʒ
cheugeseodo	tʃ j uː dʒ ɪ s ɪ əʊ d əʊ
cheugeun	tʃ j uː dʒ j uː n
cheugeurobuteo	tʃ j uː dʒ j uː ɹ ɒ b j uː t eɪ əʊ
cheugi	tʃ j uː ɡ ɪ
cheugui	tʃ j uː ɡ w i
cheuk	tʃ j uː k
cheukdo	tʃ j uː k d əʊ
cheukgeun	tʃ j uː k dʒ j uː n
cheukgeuni	tʃ j uː k dʒ j uː n i
cheukgwa	tʃ j uː k ɡ w ə
cheukjeong	tʃ j uː k dʒ ɪ ɒ ŋ
cheukjeongeun	tʃ j uː k dʒ ɪ ɒ n dʒ j uː n
cheukjeonghaetda	tʃ j uː k dʒ ɪ ɒ ŋ h iː t d ə
cheukjeonghaetdeon	tʃ j uː k dʒ ɪ ɒ ŋ h iː t d ɪ ə n
cheukjeonghagi	tʃ j uː k dʒ ɪ ə ŋ h ɑː ɡ ɪ
cheukjeonghago	tʃ j uː k dʒ ɪ ə ŋ h eɪ ɡ əʊ
cheukmyeoneseo	tʃ j uː k m j əʊ n ɪ s eɪ əʊ
cheukmyeoneseodo	tʃ j uː k m j əʊ n ɛ s ɪ əʊ d əʊ
cheukmyeonkkaji	tʃ j uː k m j əʊ ŋ k a dʒ i
cheukmyeonui	tʃ j uː k m j əʊ n j uː i
cheung	tʃ j uː ŋ
cheungcheungi	tʃ j uː ŋ tʃ j uː ŋ ɡ i
cheunge	tʃ j uː n dʒ
cheungeseo	tʃ j uː n dʒ ɪ s eɪ əʊ
cheungeuro	tʃ j uː n dʒ j uː ɹ əʊ
cheunggwa	tʃ j uː ŋ ɡ w ə
cheyukcheongsonyeonbu	tʃ eɪ ə k tʃ ə ŋ ɡ s ɒ n j əʊ n b uː
cheyukjaedaneul	tʃ eɪ ə k j iː d ɐ n j uː l
cheyuksenteo	tʃ eɪ ə k s ə n t eɪ əʊ
chia	tʃ iə
chian	tʃ aɪ ə n
chianjeonggam	tʃ aɪ ə n dʒ ɪ ɒ ŋ ɡ a m
chibuhamyeo	tʃ ɪ b j uː h a m ɪ eɪ əʊ
chigo	tʃ iː ɡ əʊ
chigobatge	tʃ ɪ ɡ ə b a t dʒ
chijamyeon	tʃ ɪ dʒ ɐ m j əʊ n
chijangeul	tʃ ɪ dʒ ɐ n dʒ j uː l
chijeu	tʃ aɪ dʒ uː
chijunghamyeo	tʃ ɪ dʒ ə ŋ h a m ɪ eɪ əʊ
chikaoneka	tʃ ɪ k eɪ ɒ n ɛ k ə
chikineul	tʃ ɪ k aɪ n ʌ l
chikineun	tʃ ɪ k aɪ n ʌ n
chikinjip	tʃ ɪ k ɪ n dʒ ɪ p
chikryeongeul	tʃ ɪ k r j əʊ n dʒ j uː l
chil	tʃ ɪ l
chilbaek	tʃ ɪ l b iː k
chilcheon	tʃ ɪ l tʃ ə n
chilhal	tʃ ɪ l h əl
chilsip	tʃ ɪ l s ɪ p
chimaeui	tʃ ɪ m iː j uː i
chimbeomhaneun	tʃ ɪ m b ɪ ɒ m h ɐ n j uː n
chimchedoen	tʃ ɪ m tʃ ɪ d əʊ n
chimchedwae	tʃ ɪ m tʃ ɪ d w iː
chimcheui	tʃ ɪ m tʃ j uː i
chimdae	tʃ ɪ m d iː
chimdaee	tʃ ɪ m d iː
chimhae	tʃ ɪ m h iː
chimhaedoeneun	tʃ ɪ m h iː d əʊ n j uː n
chimhaehandamyeo	tʃ ɪ m h iː h a n d ɐ m ɪ eɪ əʊ
chimi	tʃ ɪ m i
chimiphaetdamyeon	tʃ ɪ m ɪ f iː t d ɐ m j əʊ n
chimjeonmureul	tʃ ɪ m dʒ ɪ ɒ n m j ʊə ɹ uː l
chimmolsikineun	tʃ ɪ m ə l s ɪ k aɪ n ʌ n
chimmoreun	tʃ ɪ m ɔː ɹ uː n
chimmugeul	tʃ ɪ m j uː dʒ j uː l
chimryageuro	tʃ ɪ m ɹ ɪ ɐ dʒ j uː ɹ əʊ
chimryereul	tʃ ɪ m ɹ ɪ ə ɹ uː l
