-o	ɔ
angariar	ɐ̃ ŋ ɡ ɐ ɾ i a ɹ
angariava	ɐ̃ ŋ ɡ ɐ ɾ i a v ɐ
angariou	ɐ̃ ŋ ɡ ɐ ɾ i o w
angeja	ɐ̃ ŋ ʒ e ʒ ɐ
angela	ɐ̃ ŋ ʒ ɛ l ɐ
angelica	ɐ̃ ŋ ʒ ɨ l i k ɐ
angelico	ɐ̃ ŋ ʒ ɨ l i k ʊ
angelim	ɐ̃ ŋ ʒ ɨ l i ŋ
angelina	ɐ̃ ŋ ʒ ɨ l i n ɐ
angelis	ɐ̃ ŋ ʒ ɨ l i ʃ
angelo	ɐ̃ ŋ ʒ ɛ l ʊ
angico	ɐ̃ ŋ ʒ i k ʊ
angicos	ɐ̃ ŋ ʒ i k ʊ ʃ
anglicana	ɐ̃ ŋ ɡ l i k ɐ̃ n ɐ
anglicano	ɐ̃ ŋ ɡ l i k ɐ̃ n ʊ
angling	a ŋ ɡ ə l ɪ ŋ
anglo	ɐ̃ ŋ ɡ l ʊ
angola	ɐ̃ ŋ ɡ ɔ l ɐ
angra	ɐ̃ ŋ ɡ ɹ ɐ
angras	ɐ̃ ŋ ɡ ɹ ɐ ʃ
angu	ɐ̃ ŋ ɡ u
anguis	ɐ̃ ŋ ɡ w i ʃ
angular	ɐ̃ ŋ ɡ u l a ɹ
angulo	ɐ̃ ŋ ɡ u l ʊ
anguloso	ɐ̃ ŋ ɡ u l o z ʊ
angulosíssimo	ɐ̃ ŋ ɡ u l u z i s i m ʊ
angusta	ɐ̃ ŋ ɡ u ʃ t ɐ
angustas	ɐ̃ ŋ ɡ u ʃ t ɐ ʃ
angustia	ɐ̃ ŋ ɡ u ʃ t i ɐ
angustiada	ɐ̃ ŋ ɡ u ʃ t i a d ɐ
angustiado	ɐ̃ ŋ ɡ u ʃ t i a d ʊ
angustiados	ɐ̃ ŋ ɡ u ʃ t i a d ʊ ʃ
angustias	ɐ̃ ŋ ɡ u ʃ t i ɐ ʃ
angustiosa	ɐ̃ ŋ ɡ u ʃ t i ɔ z ɐ
angustiosamente	ɐ̃ ŋ ɡ u ʃ t i u z ɐ m eɪ ŋ t ɨ
angustiosas	ɐ̃ ŋ ɡ u ʃ t i ɔ z ɐ ʃ
angustioso	ɐ̃ ŋ ɡ u ʃ t i o z ʊ
angustiosos	ɐ̃ ŋ ɡ u ʃ t i ɔ z ʊ ʃ
angusto	ɐ̃ ŋ ɡ u ʃ t ʊ
angustura	ɐ̃ ŋ ɡ u ʃ t u ɾ ɐ
anguâtías	ɐ̃ ŋ ɡ w ɐ t i ɐ ʃ
anguítias	ɐ̃ ŋ ɡ w i t j ɐ ʃ
angá	ɐ̃ ŋ ɡ a
angélica	ɐ̃ ŋ ʒ ɛ l i k ɐ
angélico	ɐ̃ ŋ ʒ ɛ l i k ʊ
angélicos	ɐ̃ ŋ ʒ ɛ l i k ʊ ʃ
angú	ɐ̃ ŋ ɡ u
angústia	ɐ̃ ŋ ɡ u ʃ t j ɐ
angústias	ɐ̃ ŋ ɡ u ʃ t j ɐ ʃ
anhangá	ɐ̃ ɲ ɐ̃ ŋ ɡ a
anhangüera	ɐ̃ ɲ ɐ̃ ŋ ɡ u e ɾ ɐ
anhaya	ɐ̃ ɲ aɪ ɐ
anhelante	ɐ̃ ɲ ɨ l ɐ̃ ŋ t ɨ
anhelo	ɐ̃ ɲ ɛ l ʊ
anhelos	ɐ̃ ɲ ɛ l ʊ ʃ
anho	ɐ̃ ɲ ʊ
anhotim	ɐ̃ ɲ u t i ŋ
anhuma	ɐ̃ ɲ u m ɐ
aniagem	ɐ n i a ʒ eɪ ŋ
anianhã	ɐ n i ɐ̃ ɲ ɐ̃
anica	ɐ n i k ɐ
aniel	ɐ n i ɛ l
aniinal	ɐ n j i n ɑ l
anil	ɐ̃ n i l
anila	ɐ n i l ɐ
anilada	ɐ n i l a d ɐ
anima	ɐ n i m ɐ
animada	ɐ n i m a d ɐ
animadamente	ɐ n i m ɐ d ɐ m eɪ ŋ t ɨ
animadas	ɐ n i m a d ɐ ʃ
animadissima	ɐ n i m ɐ d i s i m ɐ
animadissimo	ɐ n i m ɐ d i s i m ʊ
animado	ɐ n i m a d ʊ
animador	ɐ n i m ɐ d o ɹ
animadora	ɐ n i m ɐ d o ɾ ɐ
animadoramente	ɐ n i m ɐ d u ɾ ɐ m eɪ ŋ t ɨ
animadoras	ɐ n i m ɐ d o ɾ ɐ ʃ
animados	ɐ n i m a d ʊ ʃ
animadíssima	ɐ n i m ɐ d i s i m ɐ
animadíssimos	ɐ n i m ɐ d i s i m ʊ ʃ
animaes	ɐ n i m a ɨ ʃ
animais	ɐ n i m aɪ ʃ
animaizinhos	ɐ n i m aɪ z i ɲ ʊ ʃ
animal	ɐ n i m ɑ l
animalidade	ɐ n i m ɐ l i d a d ɨ
animalíssimo	ɐ n i m ɐ l i s i m ʊ
animam	ɐ n i m ɐ̃ʊ̃
animando	ɐ n i m ɐ̃ ŋ d ʊ
animar	ɐ n i m a ɹ
animara	ɐ n i m a ɾ ɐ
animaram	ɐ n i m a ɾ ɐ̃ʊ̃
animarei	ɐ n i m ɐ ɾ eɪ
animaria	ɐ n i m ɐ ɾ i ɐ
animasse	ɐ n i m a s ɨ
animassem	ɐ n i m a s eɪ ŋ
animava	ɐ n i m a v ɐ
animavam	ɐ n i m a v ɐ̃ʊ̃
animação	ɐ n i m ɐ s ɐ̃ʊ̃
animações	ɐ n i m ɐ s õ j ʃ
anime	ɐ n i m ɨ
animei	ɐ n i m eɪ
animismo	ɐ n i m i ʒ m ʊ
animo	ɐ n i m ʊ
animos	ɐ n i m ʊ ʃ
animosas	ɐ n i m ɔ z ɐ ʃ
animosidade	ɐ n i m u z i d a d ɨ
animosos	ɐ n i m ɔ z ʊ ʃ
animou	ɐ n i m o w
animou-se	ɐ n i m o w s ɨ
animá-la	ɐ n i m a l ɐ
animá-lo	ɐ n i m a l ʊ
animávamo-nos	ɐ n i m a v ɐ m ʊ n ʊ ʃ
aningais	ɐ n i ŋ ɡ aɪ ʃ
aninha	ɐ n i ɲ ɐ
aninhada	ɐ n i ɲ a d ɐ
aninhado	ɐ n i ɲ a d ʊ
aninham	ɐ n i ɲ ɐ̃ʊ̃
aninhar	ɐ n i ɲ a ɹ
aninharia	ɐ n i ɲ ɐ ɾ i ɐ
aninharse	ɐ n i ɲ a ɾ ə s ɨ
aninhou	ɐ n i ɲ o w
aniqu	ɐ n i k u
aniquila	ɐ n i k i l ɐ
aniquilada	ɐ n i k i l a d ɐ
aniquilado	ɐ n i k i l a d ʊ
aniquilamento	ɐ n i k i l ɐ m eɪ ŋ t ʊ
aniquilando	ɐ n i k i l ɐ̃ ŋ d ʊ
aniquilar	ɐ n i k i l a ɹ
aniquilara	ɐ n i k i l a ɾ ɐ
aniquilava	ɐ n i k i l a v ɐ
aniquilação	ɐ n i k i l ɐ s ɐ̃ʊ̃
aniquilo	ɐ n i k i l ʊ
aniquilou	ɐ n i k i l o w
aniquilá	ɐ n i k i l a
anistia	ɐ n i ʃ t i ɐ
aniutka	ɐ n i u t k ɐ
aniversario	ɐ n i v ɨ ɾ ə s ɐ ɾ iʊ
aniversária	ɐ n i v ɨ ɾ ə s a ɾ j ɐ
aniversárias	ɐ n i v ɨ ɾ ə s a ɾ j ɐ ʃ
aniversário	ɐ n i v ɨ ɾ ə s a ɾ j ʊ
aniversários	ɐ n i v ɨ ɾ ə s a ɾ j ʊ ʃ
anjinho	ɐ̃ ŋ ʒ i ɲ ʊ
anjinhos	ɐ̃ ŋ ʒ i ɲ ʊ ʃ
anjo	ɐ̃ ŋ ʒ ʊ
anjos	ɐ̃ ŋ ʒ ʊ ʃ
anluaradas	ɐ̃ ŋ l u ɐ ɾ a d ɐ ʃ
anmiaes	ɐ̃ ŋ m i a ɨ ʃ
anna	ɐ̃ ŋ n ɐ
annaes	ɐ̃ ŋ n a ɨ ʃ
annando	ɐ̃ ŋ n ɐ̃ ŋ d ʊ
annel	ɐ̃ ŋ n ɛ l
annes	ɐ̃ ŋ n ɨ ʃ
annexar	ɐ̃ ŋ n ɨ k s a ɹ
annexins	ɐ̃ ŋ n ɨ k s i ŋ ʃ
anniquilado	ɐ̃ ŋ n i k i l a d ʊ
anniquilamento	ɐ̃ ŋ n i k i l ɐ m eɪ ŋ t ʊ
anniquilar	ɐ̃ ŋ n i k i l a ɹ
anniquilaram	ɐ̃ ŋ n i k i l a ɾ ɐ̃ʊ̃
anno	ɐ̃ ŋ n ʊ
annos	ɐ̃ ŋ n ʊ ʃ
annrehia	ɐ̃ ŋ n ʁ ɨ i ɐ
annual	ɐ̃ ŋ n u ɑ l
annualmente	ɐ̃ ŋ n u ɑ l m eɪ ŋ t ɨ
annue	ɐ̃ ŋ n u ɨ
annuir	ɐ̃ ŋ n u i ɹ
annuiu	ɐ̃ ŋ n w iʊ
annuncia	ɐ̃ ŋ n ũ ŋ s i ɐ
annunciados	ɐ̃ ŋ n ũ ŋ s i a d ʊ ʃ
annunciam	ɐ̃ ŋ n ũ ŋ s i ɐ̃ʊ̃
annunciando	ɐ̃ ŋ n ũ ŋ s i ɐ̃ ŋ d ʊ
annunciar	ɐ̃ ŋ n ũ ŋ s i a ɹ
annunciara	ɐ̃ ŋ n ũ ŋ s i a ɾ ɐ
annunciava	ɐ̃ ŋ n ũ ŋ s i a v ɐ
annunciavam	ɐ̃ ŋ n ũ ŋ s i a v ɐ̃ʊ̃
annuncie	ɐ̃ ŋ n ũ ŋ s i ɨ
annunciem	ɐ̃ ŋ n ũ ŋ s i eɪ ŋ
annuncio	ɐ̃ ŋ n ũ ŋ s iʊ
annuncios	ɐ̃ ŋ n ũ ŋ s iʊ ʃ
annunciou	ɐ̃ ŋ n ũ ŋ s i o w
ano	ɐ̃ n ʊ
ano-bom	ɐ̃ n ʊ b o ŋ
anoitece	ɐ n oɪ t ɛ s ɨ
anoitecendo	ɐ n oɪ t ɨ s eɪ ŋ d ʊ
anoitecer	ɐ n oɪ t ɨ s e ɹ
anoitecesse	ɐ n oɪ t ɨ s e s ɨ
anoiteceu	ɐ n oɪ t ɨ s eʊ
anoitecia	ɐ n oɪ t ɨ s i ɐ
anoitecido	ɐ n oɪ t ɨ s i d ʊ
anoja	ɐ n ɔ ʒ ɐ
anomalia	ɐ n u m ɐ l i ɐ
anomalias	ɐ n u m ɐ l i ɐ ʃ
anonimato	ɐ n u n i m a t ʊ
anonyma	ɐ n u n i m ɐ
anonymo	ɐ n u n i m ʊ
anonymos	ɐ n u n i m ʊ ʃ
anormais	ɐ n u ɾ ə m aɪ ʃ
anormal	ɐ n u ɾ ə m ɑ l
anormalmente	ɐ n u ɾ ə m ɑ l m eɪ ŋ t ɨ
anormalíssimo	ɐ n u ɾ ə m ɐ l i s i m ʊ
anormalíssimos	ɐ n u ɾ ə m ɐ l i s i m ʊ ʃ
anos	ɐ̃ n ʊ ʃ
anosas	ɐ n ɔ z ɐ ʃ
anoso	ɐ n o z ʊ
anotada	ɐ n u t a d ɐ
anotando	ɐ n u t ɐ̃ ŋ d ʊ
anotar	ɐ n u t a ɹ
anotações	ɐ n u t ɐ s õ j ʃ
anquiloses	ɐ̃ ŋ k i l ɔ z ɨ ʃ
ansberto	ɐ̃ ŋ z b ɛ ɾ ə t ʊ
anseia	ɐ̃ ŋ s eɪ ɐ
anseio	ɐ̃ ŋ s eɪ ʊ
anseios	ɐ̃ ŋ s eɪ ʊ ʃ
anselmo	ɐ̃ ŋ s e l m ʊ
ansiada	ɐ̃ ŋ s i a d ɐ
ansiado	ɐ̃ ŋ s i a d ʊ
ansiados	ɐ̃ ŋ s i a d ʊ ʃ
ansiando	ɐ̃ ŋ s i ɐ̃ ŋ d ʊ
ansiar	ɐ̃ ŋ s i a ɹ
ansiava	ɐ̃ ŋ s i a v ɐ
ansiavam	ɐ̃ ŋ s i a v ɐ̃ʊ̃
ansiedade	ɐ̃ ŋ s i ɨ d a d ɨ
ansio	ɐ̃ ŋ s iʊ
ansiosa	ɐ̃ ŋ s i ɔ z ɐ
ansiosamente	ɐ̃ ŋ s i u z ɐ m eɪ ŋ t ɨ
ansiosas	ɐ̃ ŋ s i ɔ z ɐ ʃ
ansioso	ɐ̃ ŋ s i o z ʊ
ansiosos	ɐ̃ ŋ s i ɔ z ʊ ʃ
ansiosíssima	ɐ̃ ŋ s i u z i s i m ɐ
ansiosíssimo	ɐ̃ ŋ s i u z i s i m ʊ
ant	ɐ̃ ŋ t
anta	ɐ̃ ŋ t ɐ
antagonifta	ɐ̃ ŋ t ɐ ɡ u n i f t ɐ
antagoniftas	ɐ̃ ŋ t ɐ ɡ u n i f t ɐ ʃ
antagonismo	ɐ̃ ŋ t ɐ ɡ u n i ʒ m ʊ
antagonismos	ɐ̃ ŋ t ɐ ɡ u n i ʒ m ʊ ʃ
antagonista	ɐ̃ ŋ t ɐ ɡ u n i ʃ t ɐ
antagonistas	ɐ̃ ŋ t ɐ ɡ u n i ʃ t ɐ ʃ
antagoniíla	ɐ̃ ŋ t ɐ ɡ u n j i l ɐ
antagônicos	ɐ̃ ŋ t ɐ ɡ o n i k ʊ ʃ
antan	ɐ̃ ŋ t ɐ̃ ŋ
antana	ɐ̃ ŋ t ɐ̃ n ɐ
antanho	ɐ̃ ŋ t ɐ̃ ɲ ʊ
antas	ɐ̃ ŋ t ɐ ʃ
ante	ɐ̃ ŋ t ɨ
antecede	ɐ̃ ŋ t ɨ s ɛ d ɨ
antecedencias	ɐ̃ ŋ t ɨ s ɨ d e n s i ɐ ʃ
antecedente	ɐ̃ ŋ t ɨ s ɨ d eɪ ŋ t ɨ
antecedentes	ɐ̃ ŋ t ɨ s ɨ d eɪ ŋ t ɨ ʃ
antecederam	ɐ̃ ŋ t ɨ s ɨ d e ɾ ɐ̃ʊ̃
antecedência	ɐ̃ ŋ t ɨ s ɨ d eɪ ŋ s j ɐ
anteceffores	ɐ̃ ŋ t ɨ s ɨ f ɔ ɾ ɨ ʃ
antecessor	ɐ̃ ŋ t ɨ s ɨ s o ɹ
antecessores	ɐ̃ ŋ t ɨ s ɨ s o ɾ ɨ ʃ
antecipada	ɐ̃ ŋ t ɨ s i p a d ɐ
antecipadamente	ɐ̃ ŋ t ɨ s i p ɐ d ɐ m eɪ ŋ t ɨ
antecipado	ɐ̃ ŋ t ɨ s i p a d ʊ
antecipados	ɐ̃ ŋ t ɨ s i p a d ʊ ʃ
antecipando	ɐ̃ ŋ t ɨ s i p ɐ̃ ŋ d ʊ
antecipar	ɐ̃ ŋ t ɨ s i p a ɹ
antecipara	ɐ̃ ŋ t ɨ s i p a ɾ ɐ
antecipassem	ɐ̃ ŋ t ɨ s i p a s eɪ ŋ
antecipava	ɐ̃ ŋ t ɨ s i p a v ɐ
antecipação	ɐ̃ ŋ t ɨ s i p ɐ s ɐ̃ʊ̃
antecipações	ɐ̃ ŋ t ɨ s i p ɐ s õ j ʃ
antecipemos	ɐ̃ ŋ t ɨ s i p e m ʊ ʃ
antecipálo	ɐ̃ ŋ t ɨ s i p ɑ l ʊ
antecâmara	ɐ̃ ŋ t ɨ k ɐ̃ m ɐ ɾ ɐ
antecâmeras	ɐ̃ ŋ t ɨ k ɐ̃ m ɨ ɾ ɐ ʃ
antediluvianas	ɐ̃ ŋ t ɨ d i l u v i ɐ̃ n ɐ ʃ
antegostava	ɐ̃ ŋ t ɨ ɡ u ʃ t a v ɐ
antegozando	ɐ̃ ŋ t ɨ ɡ u z ɐ̃ ŋ d ʊ
antegozo	ɐ̃ ŋ t ɨ ɡ o z ʊ
antehontem	ɐ̃ ŋ t ɨ o ŋ t eɪ ŋ
antemanhã	ɐ̃ ŋ t ɨ m ɐ̃ ɲ ɐ̃
antemural	ɐ̃ ŋ t ɨ m u ɾ ɑ l
antemão	ɐ̃ ŋ t ɨ m ɐ̃ʊ̃
antena	ɐ̃ ŋ t e n ɐ
antenas	ɐ̃ ŋ t e n ɐ ʃ
anteontem	ɐ̃ ŋ t i o ŋ t eɪ ŋ
antepaf	ɐ̃ ŋ t ɨ p a f
antepaffados	ɐ̃ ŋ t ɨ p ɐ f a d ʊ ʃ
antepaflados	ɐ̃ ŋ t ɨ p ɐ f l a d ʊ ʃ
antepaliados	ɐ̃ ŋ t ɨ p ɐ l i a d ʊ ʃ
antepara	ɐ̃ ŋ t ɨ p a ɾ ɐ
anteparo	ɐ̃ ŋ t ɨ p a ɾ ʊ
anteparos	ɐ̃ ŋ t ɨ p a ɾ ʊ ʃ
antepassados	ɐ̃ ŋ t ɨ p ɐ s a d ʊ ʃ
antepaífados	ɐ̃ ŋ t ɨ p ɐ i f ɐ d ʊ ʃ
antepondes	ɐ̃ ŋ t ɨ p o ŋ d ɨ ʃ
antepondo	ɐ̃ ŋ t ɨ p o ŋ d ʊ
anteponha	ɐ̃ ŋ t ɨ p o ɲ ɐ
antepor	ɐ̃ ŋ t ɨ p o ɹ
antepostas	ɐ̃ ŋ t ɨ p ɔ ʃ t ɐ ʃ
antepostos	ɐ̃ ŋ t ɨ p ɔ s t ʊ ʃ
antepozera	ɐ̃ ŋ t ɨ p u z e ɾ ɐ
antepunha	ɐ̃ ŋ t ɨ p ũ ɲ ɐ
antepuz	ɐ̃ ŋ t ɨ p u ʃ
antepõe	ɐ̃ ŋ t ɨ p õ j
anter	ɐ̃ ŋ t e ɹ
anterior	ɐ̃ ŋ t ɨ ɾ i o ɹ
anteriores	ɐ̃ ŋ t ɨ ɾ i o ɾ ɨ ʃ
anterioridade	ɐ̃ ŋ t ɨ ɾ i u ɾ i d a d ɨ
anteriormente	ɐ̃ ŋ t ɨ ɾ i u ɾ ə m eɪ ŋ t ɨ
antes	ɐ̃ ŋ t ɨ ʃ
anteu	ɐ̃ ŋ t eʊ
antevejo	ɐ̃ ŋ t ɨ v e ʒ ʊ
antevemos	ɐ̃ ŋ t ɨ v e m ʊ ʃ
antever	ɐ̃ ŋ t ɨ v e ɹ
antevespera	ɐ̃ ŋ t ɨ v ɨ ʃ p ɛ ɾ ɐ
antevia	ɐ̃ ŋ t ɨ v i ɐ
anteviu	ɐ̃ ŋ t ɨ v iʊ
antevéspera	ɐ̃ ŋ t ɨ v ɛ ʃ p ɨ ɾ ɐ
antevê	ɐ̃ ŋ t ɨ v e
anthologia	a n θ ɒ l ə dʒ ə
anti	ɐ̃ ŋ t i
anticipadas	ɐ̃ ŋ t i s i p a d ɐ ʃ
anticipação	ɐ̃ ŋ t i s i p ɐ s ɐ̃ʊ̃
anticipemos	ɐ̃ ŋ t i s i p e m ʊ ʃ
anticlinal	ɐ̃ ŋ t i k l i n ɑ l
anticristo	ɐ̃ ŋ t i k ɹ i ʃ t ʊ
antiga	ɐ̃ ŋ t i ɡ ɐ
antigamente	ɐ̃ ŋ t i ɡ ɐ m eɪ ŋ t ɨ
antigas	ɐ̃ ŋ t i ɡ ɐ ʃ
antigo	ɐ̃ ŋ t i ɡ ʊ
antigos	ɐ̃ ŋ t i ɡ ʊ ʃ
antigualhas	ɐ̃ ŋ t i ɡ w a ʎ ɐ ʃ
antiguidade	ɐ̃ ŋ t i ɡ w i d a d ɨ
antiguidades	ɐ̃ ŋ t i ɡ w i d a d ɨ ʃ
antigüidade	ɐ̃ ŋ t i ɡ u i d a d ɨ
antilogia	ɐ̃ ŋ t i l u ʒ i ɐ
antinomia	ɐ̃ ŋ t i n u m i ɐ
antinomias	ɐ̃ ŋ t i n u m i ɐ ʃ
antinômica	ɐ̃ ŋ t i n o m i k ɐ
antinômico	ɐ̃ ŋ t i n o m i k ʊ
antipas	ɐ̃ ŋ t i p ɐ ʃ
antipatia	ɐ̃ ŋ t i p ɐ t i ɐ
antipatias	ɐ̃ ŋ t i p ɐ t i ɐ ʃ
antipatizado	ɐ̃ ŋ t i p ɐ t i z a d ʊ
antipatizo	ɐ̃ ŋ t i p ɐ t i z ʊ
antiperistálticos	ɐ̃ ŋ t i p e ɾ i ʃ t aʊ t i k ʊ ʃ
antiphanes	ɐ̃ ŋ t i f ɐ̃ n ɨ ʃ
antiphonas	ɐ̃ ŋ t i f o n ɐ ʃ
antiphonte	ɐ̃ ŋ t i f o ŋ t ɨ
antipov	ɐ̃ ŋ t i p o v
antipova	ɐ̃ ŋ t i p ɔ v ɐ
antipovna	ɐ̃ ŋ t i p o v n ɐ
antipática	ɐ̃ ŋ t i p a t i k ɐ
antipáticas	ɐ̃ ŋ t i p a t i k ɐ ʃ
antipático	ɐ̃ ŋ t i p a t i k ʊ
antipáticos	ɐ̃ ŋ t i p a t i k ʊ ʃ
antiquada	ɐ̃ ŋ t i k w a d ɐ
antiquario	ɐ̃ ŋ t i k w ɐ ɾ iʊ
antiquissimo	ɐ̃ ŋ t i k i s i m ʊ
antiquíssimas	ɐ̃ ŋ t i k i s i m ɐ ʃ
antiquíssimo	ɐ̃ ŋ t i k i s i m ʊ
antiqüíssimo	ɐ̃ ŋ t i k w i s i m ʊ
antiqüíssimos	ɐ̃ ŋ t i k w i s i m ʊ ʃ
anto	ɐ̃ ŋ t ʊ
antogênica	ɐ̃ ŋ t u ʒ e n i k ɐ
antojos	ɐ̃ ŋ t ɔ ʒ ʊ ʃ
antojou	ɐ̃ ŋ t u ʒ o w
antolha	ɐ̃ ŋ t o ʎ ɐ
antolham	ɐ̃ ŋ t o ʎ ɐ̃ʊ̃
antolhara	ɐ̃ ŋ t u ʎ a ɾ ɐ
antolharam	ɐ̃ ŋ t u ʎ a ɾ ɐ̃ʊ̃
antolhava	ɐ̃ ŋ t u ʎ a v ɐ
antolhavam	ɐ̃ ŋ t u ʎ a v ɐ̃ʊ̃
antolhem	ɐ̃ ŋ t ɔ ʎ eɪ ŋ
antolhos	ɐ̃ ŋ t o ʎ ʊ ʃ
antomo	ɐ̃ ŋ t o m ʊ
antonina	ɐ̃ ŋ t u n i n ɐ
antonino	ɐ̃ ŋ t u n i n ʊ
antonio	ɐ̃ ŋ t o n ɪ ʊ
antonomasias	ɐ̃ ŋ t u n u m ɐ z i ɐ ʃ
antonomastico	ɐ̃ ŋ t u n u m ɐ ʃ t i k ʊ
antos	ɐ̃ ŋ t ʊ ʃ
antracito	ɐ̃ ŋ t ɹ ɐ s i t ʊ
antraz	ɐ̃ ŋ t ɹ a ʃ
antro	ɐ̃ ŋ t ɹ ʊ
antropismo	ɐ̃ ŋ t ɹ u p i ʒ m ʊ
antropocêntrica	ɐ̃ ŋ t ɹ u p u s eɪ ŋ t ɹ i k ɐ
antropocêntrico	ɐ̃ ŋ t ɹ u p u s eɪ ŋ t ɹ i k ʊ
antropofagia	ɐ̃ ŋ t ɹ u p u f ɐ ʒ i ɐ
antropoformismo	ɐ̃ ŋ t ɹ u p u f u ɾ ə m i ʒ m ʊ
antropogenia	ɐ̃ ŋ t ɹ u p u ʒ ɨ n i ɐ
antropologia	ɐ̃ ŋ t ɹ u p u l u ʒ i ɐ
antropologista	ɐ̃ ŋ t ɹ u p u l u ʒ i ʃ t ɐ
antropológica	ɐ̃ ŋ t ɹ u p u l ɔ ʒ i k ɐ
antropológicas	ɐ̃ ŋ t ɹ u p u l ɔ ʒ i k ɐ ʃ
antropológico	ɐ̃ ŋ t ɹ u p u l ɔ ʒ i k ʊ
antropológicos	ɐ̃ ŋ t ɹ u p u l ɔ ʒ i k ʊ ʃ
antropomorfismo	ɐ̃ ŋ t ɹ u p u m u ɾ ə f i ʒ m ʊ
antropomórficas	ɐ̃ ŋ t ɹ u p u m ɔ ɾ ə f i k ɐ ʃ
antropófago	ɐ̃ ŋ t ɹ u p ɔ f ɐ ɡ ʊ
antropófagos	ɐ̃ ŋ t ɹ u p ɔ f ɐ ɡ ʊ ʃ
antropólogos	ɐ̃ ŋ t ɹ u p ɔ l u ɡ ʊ ʃ
antros	ɐ̃ ŋ t ɹ ʊ ʃ
antão	ɐ̃ ŋ t ɐ̃ʊ̃
antífona	ɐ̃ ŋ t i f u n ɐ
antífonas	ɐ̃ ŋ t i f u n ɐ ʃ
antíoco	ɐ̃ ŋ t i ʊ k ʊ
antípodas	ɐ̃ ŋ t i p u d ɐ ʃ
antístrofe	ɐ̃ ŋ t i ʃ t ɹ u f ɨ
antítese	ɐ̃ ŋ t i t ɨ z ɨ
antíteses	ɐ̃ ŋ t i t ɨ z ɨ s
antónio	ɐ̃ ŋ t ɔ n j ʊ
antônia	ɐ̃ ŋ t o n j ɐ
antônio	ɐ̃ ŋ t o n j ʊ
anuais	ɐ n u aɪ ʃ
anual	ɐ n u ɑ l
anualmente	ɐ n u ɑ l m eɪ ŋ t ɨ
anuel	ɐ n u ɛ l
anuiu	ɐ n w iʊ
anula	ɐ n u l ɐ
anulados	ɐ n u l a d ʊ ʃ
anulam	ɐ n u l ɐ̃ʊ̃
anulando	ɐ n u l ɐ̃ ŋ d ʊ
anular	ɐ n u l a ɹ
anulava	ɐ n u l a v ɐ
anulavam	ɐ n u l a v ɐ̃ʊ̃
anulação	ɐ n u l ɐ s ɐ̃ʊ̃
anullou	ɐ n u l o w
anulou	ɐ n u l o w
anulá	ɐ n u l a
anum	ɐ̃ n ũ ŋ
anuncia	ɐ n ũ ŋ s i ɐ
anunciada	ɐ n ũ ŋ s i a d ɐ
anunciadas	ɐ n ũ ŋ s i a d ɐ ʃ
anunciado	ɐ n ũ ŋ s i a d ʊ
anunciam	ɐ n ũ ŋ s i ɐ̃ʊ̃
anunciando	ɐ n ũ ŋ s i ɐ̃ ŋ d ʊ
anunciando-lhe	ɐ n ũ ŋ s i ɐ̃ ŋ d ʊ ʎ ɨ
anunciante	ɐ n ũ ŋ s i ɐ̃ ŋ t ɨ
anunciar	ɐ n ũ ŋ s i a ɹ
anunciara	ɐ n ũ ŋ s i a ɾ ɐ
anunciaram	ɐ n ũ ŋ s i a ɾ ɐ̃ʊ̃
anunciava	ɐ n ũ ŋ s i a v ɐ
anunciavam	ɐ n ũ ŋ s i a v ɐ̃ʊ̃
anunciação	ɐ n ũ ŋ s i ɐ s ɐ̃ʊ̃
anuncie	ɐ n ũ ŋ s i ɨ
anunciei	ɐ n ũ ŋ s i eɪ
anunciou	ɐ n ũ ŋ s i o w
anuns	ɐ̃ n ũ ŋ ʃ
anuviar	ɐ n u v i a ɹ
anuviava	ɐ n u v i a v ɐ
anuviou	ɐ n u v i o w
anuário	ɐ n w a ɾ j ʊ
anuência	ɐ n w eɪ ŋ s j ɐ
anzóis	ɐ̃ ŋ z ɔɪ ʃ
anábasis	ɐ n a b ɐ z i ʃ
anágua	ɐ n a ɡ w ɐ
anáguas	ɐ n a ɡ w ɐ ʃ
análise	ɐ n ɑ l i z ɨ
análises	ɐ n ɑ l i z ɨ ʃ
análoga	ɐ n ɑ l u ɡ ɐ
análogas	ɐ n ɑ l u ɡ ɐ ʃ
análogo	ɐ n ɑ l u ɡ ʊ
anárquica	ɐ n a ɾ ə k i k ɐ
anás	ɐ̃ n a ʃ
anátema	ɐ n a t ɨ m ɐ
anão	ɐ n ɐ̃ʊ̃
anãs	ɐ̃ n ɐ̃ ʃ
ança	ɐ̃ ŋ s ɐ
anças	ɐ̃ ŋ s ɐ ʃ
anéis	ɐ n ɛɪ ʃ
anémonas	ɐ n ɛ m u n ɐ ʃ
anêmica	ɐ n e m i k ɐ
anêmona	ɐ n e m u n ɐ
anêmonas	ɐ n e m u n ɐ ʃ
aníbal	ɐ n i b ɑ l
anímicas	ɐ n i m i k ɐ ʃ
anímico	ɐ n i m i k ʊ
anódinos	ɐ n ɔ d i n ʊ ʃ
anômala	ɐ n o m ɐ l ɐ
anômalo	ɐ n o m ɐ l ʊ
anômalos	ɐ n o m ɐ l ʊ ʃ
anônima	ɐ n o n i m ɐ
anônimas	ɐ n o n i m ɐ ʃ
anônimo	ɐ n o n i m ʊ
anônimos	ɐ n o n i m ʊ ʃ
