'l	ɛ l l e
d'allontanarsi	d a l l o n t a n a r s ɪ
d'allor	d a l l ɔ r
d'allora	d a l l o r a
d'alloro	d a l l ɔ r o
d'alluminio	d a l l ʊ m i n i o
d'allungare	d a l l ʊ ŋ ɡ a r e
d'allungargli	d a l l ʊ ŋ ɡ a r ʎ ɪ
d'alpaca	d a l p a k a
d'alpaga	d a l p a ɡ a
d'alpagà	d a l p a ɡ a
d'alpini	d a l p i n ɪ
d'alquante	d a l k w a n t e
d'alquanti	d a l k w a n t ɪ
d'alsusid'alzarsi	d a l s ʊ z i d a l ts a r s ɪ
d'alta	d a l t a
d'altalena	d a l t a l e n a
d'altare	d a l t a r e
d'altari	d a l t a r ɪ
d'alte	d a l t e
d'altea	d a l t ɛ a
d'alterezza	d a l t e r e tsː a
d'alteria	d a l t e r i a
d'alterigia	d a l t e r iː dʒ a
d'altezza	d a l t e tsː a
d'alti	d a l t ɪ
d'altissima	d a l t i ss i m a
d'altissimo	d a l t i ss i m o
d'alto	d a l t o
d'altra	d a l t r a
d'altre	d a l t r e
d'altrettali	d a l t r e tː a l ɪ
d'altri	d a l t r ɪ
d'altro	d a l t r o
d'altronde	d a l t r o n d e
d'altrui	d a l t r u i
d'altura	d a l t u r a
d'alunne	d a l u n n e
d'alveare	d a l v e a r e
d'alveo	d a l v e o
d'alzar	d a l ts a r
d'alzare	d a l ts a r e
d'alzarmi	d a l ts a r m ɪ
d'alzarsi	d a l ts a r s ɪ
d'alìa	d a l i a
d'amaca	d a m a k a
d'amante	d a m a n t e
d'amanti	d a m a n t ɪ
d'amar	d a m a r
d'amara	d a m a ɾ a
d'amare	d a m a r e
d'amarezza	d a m a r e tsː a
d'amarissime	d a m a r i ss i m e
d'amarissimi	d a m a r i ss i m ɪ
d'amarla	d a m a r l a
d'amarmi	d a m a r m ɪ
d'amaro	d a m a r o
d'amarti	d a m a r t ɪ
d'ambascia	d a m b a ʃ a
d'ambasciata	d a m b a ʃ a t a
d'ambedue	d a m b e d u e
d'ambeduo	d a m b e d ʊ o
d'ambizione	d a m b i ts i o n e
d'ambizioni	d a m b i ts i o n ɪ
d'ambo	d a m b o
d'ambra	d a m b r a
d'ambrogio	d a m b r ɔ dʒ o
d'amena	d a m ɛ n a
d'amendue	d a m e n d u e
d'america	d a m ɛ r i k a
d'amiche	d a m i k e
d'amici	d a m i tʃ ɪ
d'amicizia	d a m i tʃ i ts i a
d'amicizie	d a m i tʃ i ts j e
d'amico	d a m i k o
d'amleto	d a m l ɛ t o
d'ammaestramento	d a m m a e s t r a m e n t o
d'ammaestrarlo	d a m m a e s t r a r l o
d'ammalata	d a m m a l a t a
d'ammazzare	d a m m a tsː a r e
d'amministrare	d a m m i n i s t r a r e
d'amministrarla	d a m m i n i s t r a r l a
d'amministrazione	d a m m i n i s t r a ts i o n e
d'ammirar	d a m m i r a r
d'ammirare	d a m m i r a r e
d'ammirarla	d a m m i r a r l a
d'ammirarlo	d a m m i r a r l o
d'ammiratori	d a m m i r a t o r ɪ
d'ammirazion	d a m m i r a ts j o n
d'ammirazione	d a m m i r a ts i o n e
d'ammissione	d a m m i ss j o n e
d'amor	d a m o r
d'amore	d a m o r e
d'amorevolezze	d a m o r e v o l e tsː e
d'amori	d a m o r ɪ
d'amorosa	d a m o r o z a
d'amorose	d a m o r o z e
d'amorosi	d a m o r o z ɪ
d'amoroso	d a m o r o z o
d'amour	d a m o u r
d'amphïone	d a m f j o n e
d'amsterdam	d a m s t e r d a m
d'ana	d a n a
d'ananasso	d a n a n a ss o
d'anania	d a n a n i a
d'anca	d a n k a
d'ancella	d a n tʃ ɛ l l a
d'anchise	d a n k i z e
d'ancona	d a n k o n a
d'andalusia	d a n d a l ʊ z i a
d'andar	d a n d a r
d'andarcene	d a n d a r tʃ e n e
d'andarci	d a n d a r tʃ ɪ
d'andare	d a n d a r e
d'andarle	d a n d a r l e
d'andarlo	d a n d a r l o
d'andarmene	d a n d a r m e n e
d'andarsene	d a n d a r s e n e
d'andarsi	d a n d a r s ɪ
d'andartene	d a n d a r t e n e
d'andarvene	d a n d a r v e n e
d'andrea	d a n d r ɛ a
d'aneddoti	d a n ɛ dː o t ɪ
d'anelli	d a n ɛ l l ɪ
d'anfiteatro	d a n f i t e a t r o
d'anfora	d a n f o r a
d'angeli	d a n dʒ e l ɪ
d'angelica	d a n dʒ ɛ l i k a
d'angeliche	d a n dʒ ɛ l i k e
d'angelici	d a n dʒ ɛ l i tʃ ɪ
d'angelo	d a n dʒ e l o
d'angiola	d a n dʒ ɔ l a
d'angioli	d a n dʒ ɔ l ɪ
d'angiolino	d a n dʒ o l i n o
d'angoli	d a ŋ ɡ o l ɪ
d'angosce	d a ŋ ɡ o ʃ e
d'angoscia	d a n ɡ ɔ ʃ a
d'angosciosa	d a ŋ ɡ o ʃ ɔ z a
d'angoscioso	d a ŋ ɡ o ʃ o z o
d'angustie	d a ŋ ɡ u s t i e
d'anice	d a n i tʃ e
d'anidride	d a n i d r ɪ d e
d'anilina	d a n i l i n a
d'anima	d a n i m a
d'animal	d a n i m a l
d'animale	d a n i m a l e
d'animali	d a n i m a l ɪ
d'anime	d a n i m e
d'animi	d a n i m ɪ
d'animo	d a n i m o
d'anita	d a n i t a
d'anitre	d a n i t r e
d'annegarmi	d a n n e ɡ a r m ɪ
d'annegarvi	d a n n e ɡ a r v ɪ
d'anni	d a n n ɪ
d'annibale	d a n n i b a l e
d'annientamento	d a n n j e n t a m e n t o
d'annientare	d a n n j e n t a r e
d'anno	d a n n o
d'annodare	d a n n o d a r e
d'annunziano	d a n n u n ts j a n o
d'annunziare	d a n n ʊ n ts j a r e
d'annunzio	d a n n u n ts i o
d'anny	d a n n ɪ
d'ansia	d a n s i a
d'ansietà	d a n s j e t a
d'antela	d a n t ɛ l a
d'antica	d a n t i k a
d'antiche	d a n t i k e
d'antichi	d a n t i k ɪ
d'antichità	d a n t i k i t a
d'antico	d a n t i k o
d'antin	d a n t i n
d'antipirina	d a n t i p i r i n a
d'antonio	d a n t ɔ n i o
d'antonomasia	d a n t o n o m a z i a
d'antropofago	d a n t r o p ɔ f a ɡ o
d'anzio	d a n ts i o
d'ape	d a p e
d'apennino	d a p e n n i n o
d'api	d a p ɪ
d'apol	d a p o l
d'apolline	d a p o l l i n e
d'apollo	d a p ɔ l l o
d'apologhi	d a p ɔ l o ɡ ɪ
d'apoplessia	d a p o p l e ss i a
d'apparato	d a pː a ɾ a t o
d'apparenza	d a pː a r ɛ n ts a
d'apparir	d a pː a r i r
d'appartamenti	d a pː a r t a m e n t ɪ
d'appello	d a pː ɛ l l o
d'appendere	d a pː ɛ n d e r e
d'appetiti	d a pː e t i t ɪ
d'appetito	d a pː e t i t o
d'applaudire	d a pː l a ʊ d i r e
d'applausi	d a pː l a ʊ z ɪ
d'appoggiarsi	d a pː o dʒː a r s ɪ
d'appoggio	d a pː ɔ dʒː o
d'apprender	d a pː r e n d ɛ r
d'apprensione	d a pː r e n s j o n e
d'approfittare	d a pː r o f i tː a r e
d'approfittarsi	d a pː r o f i tː a r s ɪ
d'approvare	d a pː r o v a r e
d'approvazione	d a pː r o v a ts i o n e
d'appuntir	d a pː ʊ n t i r
d'aprile	d a p r i l e
d'aprir	d a p r i r
d'aprire	d a p r i r e
d'aprirlo	d a p r i r l o
d'aprirne	d a p r i r n e
d'aquila	d a k w i l a
d'aquile	d a k w i l e
d'aquino	d a k w i n o
d'aquisgrana	d a k w i z ɡ r a n a
d'arabia	d a ɾ a b i a
d'aragna	d a ɾ a ɲ ɲ a
d'aragona	d a ɾ a ɡ o n a
d'arance	d a ɾ a n tʃ e
d'aranci	d a ɾ a n tʃ ɪ
d'arancia	d a ɾ a n tʃ a
d'arancio	d a ɾ a n tʃ o
d'arbitrio	d a r b i t r i o
d'arbor	d a r b ɔ r
d'arbusti	d a r b u s t ɪ
d'arbusto	d a r b u s t o
d'arcadia	d a r k a d i a
d'arcana	d a r k a n a
d'arcano	d a r k a n o
d'archeologia	d a r k e o l o dʒ i a
d'archi	d a r k ɪ
d'architetto	d a r k i t e tː o
d'architettura	d a r k i t e tː u r a
d'arco	d a r k o
d'ardengo	d a r d e ŋ ɡ o
d'arder	d a r d ɛ r
d'ardimenti	d a r d i m e n t ɪ
d'ardimento	d a r d i m e n t o
d'ardire	d a r d i r e
d'ardore	d a r d o r e
d'arenaria	d a r e n a r i a
d'aretino	d a r e t i n o
d'aretusa	d a r e t u z a
d'arezzo	d a r e tsː o
d'argani	d a r ɡ a n ɪ
d'argento	d a r dʒ ɛ n t o
d'argilla	d a r dʒ i l l a
d'argo	d a r ɡ o
d'argomentare	d a r ɡ o m e n t a r e
d'argomenti	d a r ɡ o m e n t ɪ
d'arguta	d a r ɡ u t a
d'arguto	d a r ɡ u t o
d'arguzia	d a r ɡ u ts i a
d'aria	d a r i a
d'arianna	d a r i a n n a
d'aridità	d a r i d i t a
d'arimino	d a r i m i n o
d'aringhe	d a r i ŋ ɡ e
d'aristotile	d a r i s t ɔ t i l e
d'aritmetica	d a r i t m ɛ t i k a
d'arlecchini	d a r l e kː i n ɪ
d'arlecchino	d a r l e kː i n o
d'arma	d a r m a
d'armadio	d a r m a d i o
d'armarsi	d a r m a r s ɪ
d'armati	d a r m a t ɪ
d'armature	d a r m a t u r e
d'arme	d a r m e
d'armenti	d a r m e n t ɪ
d'armi	d a r m ɪ
d'armonia	d a r m o n i a
d'armonie	d a r m o n iː e
d'arno	d a r n o
d'arpa	d a r p a
d'arrampicarmi	d a r ɾ a m p i k a r m ɪ
d'arrestar	d a r ɾ e s t a r
d'arrestare	d a r ɾ e s t a r e
d'arrestarlo	d a r ɾ e s t a r l o
d'arresto	d a r ɾ ɛ s t o
d'arricchire	d a r ɾ i kː i r e
d'arricchirsi	d a r ɾ i kː i r s ɪ
d'arricciare	d a r ɾ i tʃː a r e
d'arrivare	d a r ɾ i v a r e
d'arrivo	d a r ɾ i v o
d'arrosto	d a r ɾ ɔ s t o
d'arrotino	d a r ɾ o t i n o
d'arte	d a r t e
d'arti	d a r t ɪ
d'artifici	d a r t i f i tʃ ɪ
d'artificio	d a r t i f i tʃ o
d'artifizi	d a r t i f i ts ɪ
d'artifizio	d a r t i f i ts i o
d'artigli	d a r t i ʎ ɪ
d'artiglieria	d a r t i ʎ e r i a
d'artista	d a r t i s t a
d'artisti	d a r t i s t ɪ
d'artu	d a r t ʊ
d'ascian	d a ʃ a n
d'asciugarsi	d a ʃ ʊ ɡ a r s ɪ
d'asciutto	d a ʃ u tː o
d'ascoltar	d a s k o l t a r
d'ascoltare	d a s k o l t a r e
d'ascoltarlo	d a s k o l t a r l o
d'ascoltarmi	d a s k o l t a r m ɪ
d'asemplare	d a z e m p l a r e
d'asfissia	d a s f i ss i a
d'asilo	d a z i l o
d'asin	d a z i n
d'asino	d a z i n o
d'asma	d a z m a
d'aspersorio	d a s p e r s ɔ r i o
d'aspettar	d a s p e tː a r
d'aspettare	d a s p e tː a r e
d'aspettarlo	d a s p e tː a r l o
d'aspettarmi	d a s p e tː a r m ɪ
d'aspettarne	d a s p e tː a r n e
d'aspetti	d a s p ɛ tː ɪ
d'aspetto	d a s p ɛ tː o
d'aspirare	d a s p i r a r e
d'asprezze	d a s p r e tsː e
d'assaggio	d a ss a dʒː o
d'assai	d a ss a j
d'assalir	d a ss a l i r
d'assalto	d a ss a l t o
d'assaporare	d a ss a p o r a r e
d'assassini	d a ss a ss i n ɪ
d'assediar	d a ss e d j a r
d'assedio	d a ss ɛ d i o
d'assegnare	d a ss e ɲ a r e
d'assenso	d a ss ɛ n s o
d'assentimento	d a ss e n t i m e n t o
d'assenza	d a ss ɛ n ts a
d'assessore	d a ss e ss o r e
d'assettarglieli	d a ss e tː a r ʎ e l ɪ
d'assi	d a ss ɪ
d'assicurare	d a ss i k ʊ r a r e
d'assicurarsi	d a ss i k ʊ r a r s ɪ
d'assicurazione	d a ss i k ʊ r a ts i o n e
d'assiolo	d a ss j ɔ l o
d'assise	d a ss i z e
d'assistenza	d a ss i s t ɛ n ts a
d'assistere	d a ss i s t e r e
d'assoluta	d a ss o l u t a
d'assopimento	d a ss o p i m e n t o
d'assumer	d a ss ʊ m ɛ r
d'assumerne	d a ss u m e r n e
d'astanti	d a s t a n t ɪ
d'astio	d a s t i o
d'astrarsi	d a s t r a r s ɪ
d'astronomia	d a s t r o n o m i a
d'astucci	d a s t u tʃː ɪ
d'astuzia	d a s t u ts i a
d'atene	d a t e n e
d'atletico	d a t l ɛ t i k o
d'atomi	d a t o m ɪ
d'atra	d a t r a
d'atroce	d a t r o tʃ e
d'atropo	d a t r o p o
d'attaccar	d a tː a kː a r
d'attendere	d a tː ɛ n d e r e
d'attenderlo	d a tː ɛ n d e r l o
d'attenuare	d a tː e n ʊ a r e
d'attenzione	d a tː e n ts i o n e
d'atterrare	d a tː e r ɾ a r e
d'attesa	d a tː e z a
d'atti	d a tː ɪ
d'attila	d a tː i l a
d'attingere	d a tː i n dʒ e r e
d'attività	d a tː i v i t a
d'atto	d a tː o
d'attori	d a tː o r ɪ
d'attorno	d a tː o r n o
d'audace	d a ʊ d a tʃ e
d'audacia	d a ʊ d a tʃ a
d'audire	d a ʊ d i r e
d'augurii	d a ʊ ɡ ʊ r ɪː j
d'augusto	d a ʊ ɡ u s t o
d'aura	d a ʊ r a
d'aurei	d a ʊ r e i
d'ausonia	d a ʊ z ɔ n i a
d'austerità	d a ʊ s t e r i t a
d'australia	d a ʊ s t r a l i a
d'austria	d a ʊ s t r i a
d'automobile	d a ʊ t o m ɔ b i l e
d'automobili	d a ʊ t o m ɔ b i l ɪ
d'autore	d a ʊ t o r e
d'autorità	d a ʊ t o r i t a
d'autunno	d a ʊ t u n n o
d'avana	d a v a n a
d'avanzare	d a v a n ts a r e
d'avanzarsi	d a v a n ts a r s ɪ
d'avanzo	d a v a n ts o
d'avena	d a v e n a
d'aventurosi	d a v e n t ʊ r ɔ z ɪ
d'aver	d a v ɛ r
d'averci	d a v ɛ r tʃ ɪ
d'avere	d a v e r e
d'avergli	d a v ɛ r ʎ ɪ
d'avergliela	d a v ɛ r ʎ e l a
d'averglielo	d a v ɛ r ʎ e l o
d'averla	d a v ɛ r l a
d'averle	d a v ɛ r l e
d'averli	d a v ɛ r l ɪ
d'averlo	d a v ɛ r l o
d'avermi	d a v ɛ r m ɪ
d'averne	d a v ɛ r n e
d'aversi	d a v e r s ɪ
d'averti	d a v ɛ r t ɪ
d'avezzano	d a v e tsː a n o
d'avorio	d a v ɔ r i o
d'avvedersi	d a v v e d e r s ɪ
d'avvedutezza	d a v v e d ʊ t e tsː a
d'avvenimenti	d a v v e n i m e n t ɪ
d'avventori	d a v v e n t o r ɪ
d'avventurarsi	d a v v e n t ʊ r a r s ɪ
d'avventure	d a v v e n t u r e
d'avversarii	d a v v e r s a r ɪː j
d'avvertimento	d a v v e r t i m e n t o
d'avvertire	d a v v e r t i r e
d'avviarsi	d a v v i a r s ɪ
d'avvicinarlo	d a v v i tʃ i n a r l o
d'avvicinarmi	d a v v i tʃ i n a r m ɪ
d'avvicinarsi	d a v v i tʃ i n a r s ɪ
d'avvilimento	d a v v i l i m e n t o
d'avvilir	d a v v i l i r
d'avvinghiarlo	d a v v i ŋ ɡ j a r l o
d'avviso	d a v v i z o
d'avvocati	d a v v o k a t ɪ
d'avvocato	d a v v o k a t o
d'avvoltoj	d a v v o l t o j
d'azzardo	d a dzː a r d o
d'azzo	d a dzː o
d'azzurro	d a dzː u r ɾ o
d'ebano	d ɛ b a n o
d'ebbrezza	d e bː r e tsː a
d'eccelsi	d e tʃː ɛ l s ɪ
d'economia	d e k o n o m i a
d'economie	d e k o n o m i e
d'edera	d e d e r a
d'edificare	d e d i f i k a r e
d'editori	d e d i t o r ɪ
d'educazione	d e d ʊ k a ts i o n e
d'effetti	d e f f ɛ tː ɪ
d'effetto	d e f f ɛ tː o
d'eg	d ɛ ɡ
d'egitto	d e dʒ i tː o
d'egoismo	d e ɡ o i z m o
d'egoista	d e ɡ o i s t a
d'egual	d e ɡ w a l
d'eguale	d e ɡ w a l e
d'elefante	d e l e f a n t e
d'elefanti	d e l e f a n t ɪ
d'eleganza	d e l e ɡ a n ts a
d'elementi	d e l e m e n t ɪ
d'elemosina	d e l e m ɔ z i n a
d'eleonora	d e l e o n ɔ r a
d'elettricità	d e l e tː r i tʃ i t a
d'elezione	d e l e ts i o n e
d'elia	d e l i a
d'elisabetta	d e l i z a b e tː a
d'elleboro	d e l l e b ɔ r o
d'ellesmere	d e l l e z m e r e
d'elogio	d e l ɔ dʒ o
d'eloquenza	d e l o k w ɛ n ts a
d'elsa	d e l s a
d'elvira	d e l v i r a
d'embolia	d e m b o l i a
d'emigranti	d e m i ɡ r a n t ɪ
d'emilio	d e m i l i o
d'emozione	d e m o ts i o n e
d'empire	d e m p i r e
d'emula	d ɛ m ʊ l a
d'energia	d e n e r dʒ i a
d'enimmi	d e n i m m ɪ
d'enorme	d e n o r m e
d'enormi	d e n o r m ɪ
d'entr'al	d e n t r a l
d'entrambi	d e n t r a m b ɪ
d'entrar	d e n t r a r
d'entrare	d e n t r a r e
d'entrarle	d e n t r a r l e
d'entrarvi	d e n t r a r v ɪ
d'entrata	d e n t r a t a
d'entro	d e n t r o
d'entusiasmo	d e n t ʊ z j a z m o
d'epicuro	d e p i k u r o
d'eponina	d e p o n i n a
d'equilibrio	d e k w i l i b r i o
d'equipaggio	d e k w i p a dʒː o
d'erba	d ɛ r b a
d'erbaggi	d e r b a dʒː ɪ
d'erbe	d ɛ r b e
d'ercole	d ɛ r k o l e
d'ercule	d ɛ r k ʊ l e
d'eredità	d e r e d i t a
d'eretica	d e r ɛ t i k a
d'eretico	d e r ɛ t i k o
d'ergastolo	d e r ɡ a s t o l o
d'eriche	d ɛ r i k e
d'eroi	d e r ɔ i
d'eroina	d e r o i n a
d'eroismo	d e r o i z m o
d'erro	d ɛ r ɾ o
d'error	d e r ɾ ɔ r
d'errore	d e r ɾ o r e
d'ersilia	d e r s i l i a
d'esaltar	d e z a l t a r
d'esaltazione	d e z a l t a ts i o n e
d'esame	d e z a m e
d'esametri	d e z a m e t r ɪ
d'esami	d e z a m ɪ
d'esaminarlo	d e z a m i n a r l o
d'esasperazione	d e z a s p e r a ts i o n e
d'esattezza	d e z a tː e tsː a
d'esattoria	d e z a tː o r i a
d'esaudirci	d e z a ʊ d i r tʃ ɪ
d'escario	d e s k a r i o
d'esclamare	d e s k l a m a r e
d'esclamazioni	d e s k l a m a ts i o n ɪ
d'escogitar	d e s k o dʒ i t a r
d'esculapio	d e s k ʊ l a p i o
d'esecuzione	d e z e k ʊ ts i o n e
d'esempio	d e z ɛ m p i o
d'esercitare	d e z e r tʃ i t a r e
d'esercitarsi	d e z e r tʃ i t a r s ɪ
d'esercitazione	d e z e r tʃ i t a ts i o n e
d'esercito	d e z ɛ r tʃ i t o
d'esercizio	d e z e r tʃ i ts i o
d'esilio	d e z i l i o
d'esilissime	d e z i l i ss i m e
d'esistenza	d e z i s t ɛ n ts a
d'esitazione	d e z i t a ts i o n e
d'esmeralda	d e z m e r a l d a
d'esonerare	d e z o n e r a r e
d'esopo	d e z ɔ p o
d'espandersi	d e s p a n d e r s ɪ
d'espedienti	d e s p e d j ɛ n t ɪ
d'esperia	d e s p ɛ r i a
d'esperienza	d e s p e r i ɛ n ts a
d'esperienze	d e s p e r i ɛ n ts e
d'esperimento	d e s p e r i m e n t o
d'esporre	d e s p ɔ r ɾ e
d'esportazione	d e s p o r t a ts i o n e
d'esposizione	d e s p o z i ts i o n e
d'espressione	d e s p r e ss j o n e
d'esprimere	d e s p r i m e r e
d'essa	d e ss a
d'esse	d ɛ ss e
d'esser	d ɛ ss e r
d'esserci	d ɛ ss e r tʃ ɪ
d'essere	d ɛ ss e r e
d'essermi	d ɛ ss e r m ɪ
d'esserne	d ɛ ss e r n e
d'essersene	d ɛ ss e r s e n e
d'essersi	d ɛ ss e r s ɪ
d'esserti	d ɛ ss e r t ɪ
d'esservene	d ɛ ss e r v e n e
d'esservi	d ɛ ss e r v ɪ
d'essi	d ɛ ss ɪ
d'esso	d e ss o
d'esta	d ɛ s t a
d'estate	d e s t a t e
d'este	d ɛ s t e
d'esti	d ɛ s t ɪ
d'estinguere	d e s t i ŋ ɡ w e r e
d'estinto	d e s t i n t o
d'estiva	d e s t i v a
d'esto	d ɛ s t o
d'estranei	d e s t r a n e i
d'estrarlo	d e s t r a r l o
d'estrazione	d e s t r a ts i o n e
d'estrema	d e s t r ɛ m a
d'estro	d ɛ s t r o
d'està	d e s t a
d'esultanza	d e z ʊ l t a n ts a
d'etade	d e t a d e
d'etere	d e t e r e
d'eternarla	d e t e r n a r l a
d'eternità	d e t e r n i t a
d'eterno	d e t ɛ r n o
d'ethïopia	d e t j ɔ p i a
d'etnografia	d e t n o ɡ r a f i a
d'etterna	d e tː ɛ r n a
d'etterno	d e tː ɛ r n o
d'età	d e t a
d'euforbia	d e ʊ f ɔ r b i a
d'euforbie	d e ʊ f ɔ r b j e
d'europa	d e ʊ r ɔ p a
d'eva	d ɛ v a
d'evviva	d e v v i v a
d'hudson	d u d s o n
d'i	d i
d'icaro	d i k a r o
d'ideale	d i d e a l e
d'idealisti	d i d e a l i s t ɪ
d'idealità	d i d e a l i t a
d'idee	d i d ɛ e
d'idillio	d i d i l l i o
d'idolo	d i d o l o
d'idoneità	d i d o n e i t a
d'iduccia	d i d u tʃː a
d'ieri	d j ɛ r ɪ
d'igne	d i ɲ ɲ e
d'ignoranza	d i ɲ o r a n ts a
d'ignorarle	d i ɲ o r a r l e
d'ignorati	d i ɲ o r a t ɪ
d'ignota	d i ɲ ɔ t a
d'ignoti	d i ɲ ɔ t ɪ
d'ignoto	d i ɲ ɔ t o
d'ilarità	d i l a r i t a
d'ilio	d i l i o
d'illudersi	d i l l u d e r s ɪ
d'illuminare	d i l l ʊ m i n a r e
d'illuminazione	d i l l ʊ m i n a ts i o n e
d'illusion	d i l l ʊ z i o n
d'illusione	d i l l ʊ z i o n e
d'illusioni	d i l l ʊ z i o n ɪ
d'illustri	d i l l u s t r ɪ
d'imbalordire	d i m b a l o r d i r e
d'imbandirle	d i m b a n d i r l e
d'imbarazzi	d i m b a ɾ a tsː ɪ
d'imbarazzo	d i m b a ɾ a tsː o
d'imbarcarmi	d i m b a r k a r m ɪ
d'imbastire	d i m b a s t i r e
d'imbatterci	d i m b a tː e r tʃ ɪ
d'imbattermi	d i m b a tː e r m ɪ
d'imbattersi	d i m b a tː e r s ɪ
d'imbecille	d i m b e tʃ i l l e
d'imbecillità	d i m b e tʃ i l l i t a
d'imbelle	d i m b ɛ l l e
d'imboccar	d i m b o kː a r
d'imbottar	d i m b o tː a r
d'imbottita	d i m b o tː i t a
d'imbrogli	d i m b r o ʎ ɪ
d'imbrèntini	d i m b r ɛ n t i n ɪ
d'imeneo	d i m e n e o
d'imitare	d i m i t a r e
d'imitazione	d i m i t a ts i o n e
d'immaginare	d i m m a dʒ i n a r e
d'immaginazione	d i m m a dʒ i n a ts i o n e
d'immagini	d i m m a dʒ i n ɪ
d'immedesimarsi	d i m m e d e z i m a r s ɪ
d'immense	d i m m ɛ n s e
d'immolazione	d i m m o l a ts i o n e
d'immondizie	d i m m o n d i ts j e
d'immortal	d i m m ɔ r t a l
d'immortale	d i m m o r t a l e
d'immortali	d i m m o r t a l ɪ
d'impaccio	d i m p a tʃː o
d'impagliare	d i m p a ʎ a r e
d'impalcati	d i m p a l k a t ɪ
d'impallidire	d i m p a l l i d i r e
d'imparar	d i m p a ɾ a r
d'imparare	d i m p a ɾ a r e
d'impastare	d i m p a s t a r e
d'impazienza	d i m p a ts j ɛ n ts a
d'impazzire	d i m p a tsː i r e
d'impedimento	d i m p e d i m e n t o
d'impedir	d i m p e d i r
d'impedire	d i m p e d i r e
d'impedirgli	d i m p e d i r ʎ ɪ
d'impedirsi	d i m p e d i r s ɪ
d'impegno	d i m p e ɲ ɲ o
d'imperator	d i m p e r a t ɔ r
d'imperatori	d i m p e r a t o r ɪ
d'impero	d i m p ɛ r o
d'impertinente	d i m p e r t i n ɛ n t e
d'impiantito	d i m p j a n t i t o
d'impiastrafogli	d i m p j a s t r a f o ʎ ɪ
d'impiccarmi	d i m p i kː a r m ɪ
d'impiccarsi	d i m p i kː a r s ɪ
d'impiccio	d i m p i tʃː o
d'impiegati	d i m p j e ɡ a t ɪ
d'impiombargli	d i m p j o m b a r ʎ ɪ
d'impiombarsi	d i m p j o m b a r s ɪ
d'implacato	d i m p l a k a t o
d'implorazione	d i m p l o r a ts i o n e
d'importante	d i m p o r t a n t e
d'importanza	d i m p o r t a n ts a
d'impossibile	d i m p o ss i b i l e
d'imposte	d i m p ɔ s t e
d'imprecazioni	d i m p r e k a ts i o n ɪ
d'imprestare	d i m p r e s t a r e
d'impreveduto	d i m p r e v e d u t o
d'improper	d i m p r o p ɛ r
d'improperi	d i m p r o p ɛ r ɪ
d'improvvisarle	d i m p r o v v i z a r l e
d'improvviso	d i m p r o v v i z o
d'impudenza	d i m p ʊ d ɛ n ts a
d'in	d iː n
d'inanzi	d i n a n ts ɪ
d'inatteso	d i n a tː e z o
d'inaudito	d i n a ʊ d i t o
d'incantesimo	d i n k a n t ɛ z i m o
d'incanto	d i n k a n t o
d'incarco	d i n k a r k o
d'incaricarsene	d i n k a r i k a r s e n e
d'incarnare	d i n k a r n a r e
d'incarnarsi	d i n k a r n a r s ɪ
d'incartamenti	d i n k a r t a m e n t ɪ
d'incendi	d i n tʃ ɛ n d ɪ
d'incendio	d i n tʃ e n d i o
d'incenerarti	d i n tʃ e n e r a r t ɪ
d'incenso	d i n tʃ ɛ n s o
d'incerata	d i n tʃ e r a t a
d'incertezza	d i n tʃ e r t e tsː a
d'inchiesta	d i n k j ɛ s t a
d'inchiostri	d i n k j ɔ s t r ɪ
d'inchiostro	d i n k j ɔ s t r o
d'inciampare	d i n tʃ a m p a r e
d'inciampo	d i n tʃ a m p o
d'incipiente	d i n tʃ i p i ɛ n t e
d'incisione	d i n tʃ i z i o n e
d'incombenze	d i n k o m b ɛ n ts e
d'incominciare	d i n k o m i n tʃ a r e
d'incomodarsi	d i n k o m o d a r s ɪ
d'incomodo	d i n k ɔ m o d o
d'incontrar	d i n k o n t r a r
d'incontrare	d i n k o n t r a r e
d'incontrarla	d i n k o n t r a r l a
d'incontro	d i n k o n t r o
d'incorporarlo	d i n k o r p o r a r l o
d'incorrere	d i n k ɔ r ɾ e r e
d'incoscienza	d i n k o ʃ ɛ n ts a
d'incredibili	d i n k r e d i b i l ɪ
d'incredulità	d i n k r e d ʊ l i t a
d'incrociar	d i n k r o tʃ a r
d'incrostazioni	d i n k r o s t a ts i o n ɪ
d'incudine	d i n k u d i n e
d'indefiniti	d i n d e f i n i t ɪ
d'indefinito	d i n d e f i n i t o
d'indegno	d i n d e ɲ ɲ o
d'indi	d i n d ɪ
d'india	d i n d i a
d'indiana	d i n d j a n a
d'indiani	d i n d j a n ɪ
d'indicibile	d i n d i tʃ i b i l e
d'indifferenza	d i n d i f f e r ɛ n ts a
d'indignazione	d i n d i ɲ a ts i o n e
d'indiscutibile	d i n d i s k ʊ t i b i l e
d'indole	d i n d o l e
d'indolenzimento	d i n d o l e n ts i m e n t o
d'indossar	d i n d o ss a r
d'indossare	d i n d o ss a r e
d'indovinare	d i n d o v i n a r e
d'indovinarla	d i n d o v i n a r l a
d'indovinelli	d i n d o v i n ɛ l l ɪ
d'indugio	d i n d u dʒ o
d'indulgenza	d i n d ʊ l dʒ ɛ n ts a
d'indurir	d i n d ʊ r i r
d'indurla	d i n d u r l a
d'indurlo	d i n d u r l o
d'indurre	d i n d u r ɾ e
d'industrie	d i n d u s t r i e
