а	ɑ
гончаровской	ɡ ʌ n tʃʲ a r o f s k ʌ j
гончаровскую	ɡ ʌ n tʃʲ a r o f s k u ju
гончие	ɡ o n tʃʲ i j ɪ
гончих	ɡ o n tʃʲ i x
гоню	ɡ ʌ nʲ u"
гонюсь	ɡ ʌ nʲ u" sʲ
гоняется	ɡ ʌ nʲ ɑ j i ts ʌ
гоняешься	ɡ ʌ nʲ ɑ j i ʃ sʲ ʌ
гоняй	ɡ o nʲ ʌ j
гонял	ɡ ʌ nʲ ɑ ɭ
гоняла	ɡ ʌ nʲ ɑ ɭ a
гонялась	ɡ ʌ nʲ ɑ ɭ ʌ sʲ
гоняли	ɡ ʌ nʲ ɑ ɭʲ ɪ
гонялись	ɡ ʌ nʲ ɑ ɭʲ i sʲ
гонялся	ɡ ʌ nʲ ɑ ɭ sʲ ʌ
гонят	ɡ o nʲ ʌ t
гонятся	ɡ o nʲ ʌ ts ʌ
гонять	ɡ ʌ nʲ ɑ tʲ
гоняться	ɡ ʌ nʲ ɑ tʲ sʲ ʌ
гоняюсь	ɡ ʌ nʲ ɑ ju sʲ
гоняются	ɡ ʌ nʲ ɑ ju ts ʌ
гоняя	ɡ ʌ nʲ ɑ ja
гор	ɡ o r
гора	ɡ o r a
гораздо	ɡ ʌ r ɑ z d ʌ
гораздый	ɡ ʌ r ɑ z d y j
горам	ɡ ʌ r ɑ m
горами	ɡ ʌ r ɑ mʲ ɪ
горах	ɡ ʌ r ɑ x
горацием	ɡ ʌ r a ts y j i m
гораций	ɡ ʌ r ɑ ts y j
горацио	ɡ ʌ r ɑ ts y ʌ
горб	ɡ o r p
горбам	ɡ o r b ʌ m
горбата	ɡ ʌ r b ɑ t a
горбатая	ɡ ʌ r b ɑ t ʌ ja
горбатова	ɡ ʌ r b ɑ t ʌ v a
горбатовой	ɡ ʌ r b a t o v ʌ j
горбатую	ɡ ʌ r b ɑ t u ju
горбатый	ɡ ʌ r b ɑ t y j
горбится	ɡ o r bʲ i ts ʌ
горбом	ɡ ʌ r b o m
горбоносой	ɡ ʌ r b ʌ n o s ʌ j
горбоносых	ɡ ʌ r b ʌ n o s y x
горбуна	ɡ ʌ r b u n ɑ
горбуны	ɡ ʌ r b u n y
горд	ɡ o r t
горда	ɡ ʌ r d ɑ
гордая	ɡ o r d ʌ ja
гордеев	ɡ ʌ r dʲ e j i f
гордеенко	ɡ ʌ r dʲ e j i n k ʌ
горделиво	ɡ ʌ r dʲ i ɭʲ i v ʌ
горделивого	ɡ ʌ r dʲ i ɭʲ i v ʌ v ʌ
горделивое	ɡ ʌ r dʲ i ɭʲ i v ʌ j ɪ
горделивом	ɡ ʌ r dʲ i ɭʲ i v ʌ m
горделивую	ɡ ʌ r dʲ i ɭʲ i v u ju
горделивые	ɡ ʌ r dʲ i ɭʲ i v y j ɪ
горделивый	ɡ ʌ r dʲ i ɭʲ i v y j
горделивым	ɡ ʌ r dʲ i ɭʲ i v y m
горделивых	ɡ ʌ r dʲ i ɭʲ i v y x
гордец	ɡ ʌ r dʲ e ts
гордиев	ɡ o r dʲ i j i f
гордиева	ɡ ʌ r dʲ i j i v a
гордилась	ɡ ʌ r dʲ i ɭ ʌ sʲ
гордились	ɡ ʌ r dʲ i ɭʲ i sʲ
гордился	ɡ ʌ r dʲ i ɭ sʲ ʌ
гордись	ɡ ʌ r dʲ i sʲ
гордитесь	ɡ ʌ r dʲ i tʲ i sʲ
гордится	ɡ ʌ r dʲ i ts ʌ
гордиться	ɡ ʌ r dʲ i tʲ sʲ ʌ
гордо	ɡ o r d ʌ
гордого	ɡ o r d ʌ v ʌ
гордое	ɡ o r d ʌ j ɪ
гордой	ɡ o r d ʌ j
гордом	ɡ o r d ʌ m
гордому	ɡ o r d ʌ m u
гордости	ɡ o r d ʌ sʲ tʲ ɪ
гордостию	ɡ ʌ r d o sʲ tʲ i ju
гордость	ɡ o r d ʌ s tʲ
гордостью	ɡ o r d ʌ s tʲ j ju
гордою	ɡ o r d ʌ ju
горды	ɡ ʌ r d y
гордые	ɡ o r d y j ɪ
гордый	ɡ o r d y j
гордым	ɡ o r d y m
гордыми	ɡ o r d y mʲ ɪ
гордыне	ɡ ʌ r d y nʲ i
гордыней	ɡ ʌ r d y nʲ i j
гордых	ɡ o r d y x
гордясь	ɡ ʌ r dʲ ɑ sʲ
гордятся	ɡ ʌ r dʲ ɑ ts ʌ
гордячка	ɡ ʌ r dʲ ɑ tʃʲ k a
горе	ɡ o rʲ i
горевал	ɡ ʌ rʲ i v ɑ ɭ
горел	ɡ ʌ rʲ e ɭ
горела	ɡ ʌ rʲ e ɭ a
горели	ɡ ʌ rʲ e ɭʲ ɪ
горелки	ɡ ʌ rʲ e ɭ kʲ ɪ
горелку	ɡ ʌ rʲ e ɭ k u
горело	ɡ ʌ rʲ e ɭ ʌ
горем	ɡ o rʲ i m
горемыка	ɡ ʌ rʲ i m y k a
горемыку	ɡ ʌ rʲ i m y k u
горемычному	ɡ ʌ rʲ i m y tʃʲ n ʌ m u
горемычную	ɡ ʌ rʲ i m y tʃʲ n u ju
горемычный	ɡ ʌ rʲ i m y tʃʲ n y j
горение	ɡ ʌ rʲ e nʲ i j ɪ
горения	ɡ ʌ rʲ e nʲ i ja
горестей	ɡ o rʲ i sʲ tʲ i j
горести	ɡ o rʲ i sʲ tʲ ɪ
горестная	ɡ o rʲ i s t n ʌ ja
горестно	ɡ o rʲ i s t n ʌ
горестное	ɡ o rʲ i s t n ʌ j ɪ
горестной	ɡ o rʲ i s t n ʌ j
горестном	ɡ o rʲ i s t n ʌ m
горестный	ɡ o rʲ i s t n y j
горестным	ɡ o rʲ i s t n y m
горестных	ɡ o rʲ i s t n y x
горесть	ɡ o rʲ i s tʲ
горестью	ɡ o rʲ i s tʲ j ju
горестям	ɡ o rʲ i sʲ tʲ ʌ m
горестями	ɡ o rʲ i sʲ tʲ ʌ mʲ ɪ
горето	ɡ ʌ rʲ e t ʌ
гореть	ɡ ʌ rʲ e tʲ
горец	ɡ o rʲ i ts
горечи	ɡ o rʲ i tʃʲ ɪ
горечь	ɡ o rʲ i tʃʲ
горечью	ɡ o rʲ i tʃʲ j ju
горжусь	ɡ ʌ r ʒ u sʲ
горизонт	ɡ ʌ rʲ i z o n t
горизонта	ɡ ʌ rʲ i z o n t a
горизонтально	ɡ ʌ rʲ i z ʌ n t ɑ ɭ n ʌ
горизонтах	ɡ ʌ rʲ i z o n t ʌ x
горизонте	ɡ ʌ rʲ i z o n tʲ i
горизонтом	ɡ ʌ rʲ i z o n t ʌ m
горизонты	ɡ ʌ rʲ i z o n t y
гористых	ɡ ʌ rʲ i s t y x
горит	ɡ ʌ rʲ i t
горишь	ɡ ʌ rʲ i ʃ
горка	ɡ o r k a
горками	ɡ o r k ʌ mʲ ɪ
горке	ɡ o r kʲ i
горки	ɡ o r kʲ ɪ
горла	ɡ o r ɭ a
горле	ɡ o r ɭʲ i
горлинка	ɡ o r ɭʲ i n k a
горлинок	ɡ ʌ r ɭʲ i n o k
горлицами	ɡ ʌ r ɭʲ i ts ʌ mʲ ɪ
горлицы	ɡ o r ɭʲ i ts y
горло	ɡ o r ɭ ʌ
горловые	ɡ ʌ r ɭ ʌ v y j ɪ
горлом	ɡ o r ɭ ʌ m
горлу	ɡ o r ɭ u
горлышко	ɡ o r ɭ y ʃ k ʌ
горлышком	ɡ o r ɭ y ʃ k ʌ m
горная	ɡ o r n ʌ ja
горние	ɡ o r nʲ i j ɪ
горний	ɡ o r nʲ i j
горниле	ɡ ʌ r nʲ i ɭʲ i
горнило	ɡ ʌ r nʲ i ɭ ʌ
горниц	ɡ o r nʲ i ts
горница	ɡ o r nʲ i ts a
горнице	ɡ o r nʲ i ts y
горницу	ɡ o r nʲ i ts u
горницы	ɡ o r nʲ i ts y
горничная	ɡ o r nʲ i tʃʲ n ʌ ja
горничной	ɡ o r nʲ i ʃ n ʌ j
горничную	ɡ o r nʲ i tʃʲ n u ju
горничные	ɡ o r nʲ i tʃʲ n y j ɪ
горничным	ɡ o r nʲ i tʃʲ n y m
горничными	ɡ o r nʲ i tʃʲ n y mʲ ɪ
горничных	ɡ o r nʲ i tʃʲ n y x
горное	ɡ o r n ʌ j ɪ
горной	ɡ o r n ʌ j
горностаем	ɡ ʌ r n ʌ s t ɑ j i m
горную	ɡ o r n u ju
горнфельд	ɡ ʌ r n fʲ e ɭ t
горные	ɡ o r n y j ɪ
горный	ɡ o r n y j
горным	ɡ o r n y m
горных	ɡ o r n y x
город	ɡ o r ʌ t
города	ɡ ʌ r o d a
городам	ɡ ʌ r ʌ d ɑ m
городах	ɡ ʌ r ʌ d ɑ x
городе	ɡ o r ʌ dʲ i
городит	ɡ ʌ r ʌ dʲ i t
городишке	ɡ ʌ r ʌ dʲ i ʃ kʲ i
городишки	ɡ ʌ r ʌ dʲ i ʃ kʲ ɪ
городишь	ɡ ʌ r o dʲ i ʃ
городка	ɡ ʌ r ʌ d k ɑ
городке	ɡ ʌ r ʌ t kʲ e
городков	ɡ ʌ r ʌ d k o f
городничего	ɡ ʌ r ʌ d nʲ i tʃʲ i v ʌ
городов	ɡ ʌ r ʌ d o f
городового	ɡ ʌ r ʌ d ʌ v o v ʌ
городовой	ɡ ʌ r ʌ d ʌ v o j
городовым	ɡ ʌ r ʌ d ʌ v y m
городок	ɡ ʌ r ʌ d o k
городом	ɡ o r ʌ d ʌ m
городская	ɡ ʌ r ʌ d s k ɑ ja
городские	ɡ ʌ r ʌ d s kʲ i j ɪ
городским	ɡ ʌ r ʌ d s kʲ i m
городскими	ɡ ʌ r ʌ d s kʲ i mʲ ɪ
городских	ɡ ʌ r ʌ d s kʲ i x
городского	ɡ ʌ r ʌ d s k o v ʌ
городское	ɡ ʌ r ʌ d s k o j ɪ
городской	ɡ ʌ r ʌ d s k o j
городском	ɡ ʌ r ʌ d s k o m
городскому	ɡ ʌ r ʌ d s k o m u
городскую	ɡ ʌ r ʌ d s k u ju
городу	ɡ o r ʌ d u
горожан	ɡ ʌ r ʌ ʒ ɑ n
горожанин	ɡ ʌ r ʌ ʒ ɑ nʲ i n
горожанка	ɡ ʌ r ʌ ʒ ɑ n k a
горой	ɡ ʌ r o j
гороскоп	ɡ ʌ r ʌ s k o p
горох	ɡ ʌ r o x
гороха	ɡ ʌ r o x a
горохе	ɡ ʌ r o x i
горохового	ɡ ʌ r o x ʌ v ʌ v ʌ
горошек	ɡ ʌ r o ʃ y k
горошину	ɡ ʌ r o ʃ y n u
горошкина	ɡ ʌ r o ʃ kʲ i n a
горошкиных	ɡ ʌ r ʌ ʃ kʲ i n y x
горою	ɡ ʌ r o ju
горских	ɡ o r s kʲ i x
горсти	ɡ o r sʲ tʲ ɪ
горстив	ɡ o r sʲ tʲ i f
горстию	ɡ o r sʲ tʲ i ju
горсточка	ɡ o r s t ʌ tʃʲ k a
горсточку	ɡ o r s t ʌ tʃʲ k u
горсть	ɡ o r s tʲ
горстью	ɡ o r s tʲ j ju
горстями	ɡ ʌ r sʲ tʲ ɑ mʲ ɪ
гортани	ɡ ʌ r t ɑ nʲ ɪ
гортанным	ɡ ʌ r t ɑ n n y m
гору	ɡ o r u
горцах	ɡ o r ts ʌ x
горцев	ɡ o r ts y f
горцы	ɡ o r ts y
горчакова	ɡ ʌ r tʃʲ a k o v a
горчицы	ɡ ʌ r tʃʲ i ts y
горчишники	ɡ ʌ r tʃʲ i ʃ nʲ i kʲ ɪ
горшая	ɡ ʌ r ʃ ɑ ja
горше	ɡ o r ʃ y
горшее	ɡ ʌ r ʃ ɛ j ɪ
горшей	ɡ o r ʃ y j
горшках	ɡ ʌ r ʃ k ɑ x
горшке	ɡ ʌ r ʃ kʲ e
горшки	ɡ ʌ r ʃ kʲ i
горшком	ɡ ʌ r ʃ k o m
горшку	ɡ ʌ r ʃ k u
горшок	ɡ ʌ r ʃ o k
горы	ɡ o r y
горька	ɡ ʌ r ɪ^ k ɑ
горькая	ɡ o r ɪ^ k ʌ ja
горьки	ɡ o r ɪ^ kʲ ɪ
горькие	ɡ o r ɪ^ kʲ i j ɪ
горький	ɡ o r ɪ^ kʲ i j
горьким	ɡ o r ɪ^ kʲ i m
горькими	ɡ o r ɪ^ kʲ i mʲ ɪ
горьких	ɡ o r ɪ^ kʲ i x
горько	ɡ o r ɪ^ k ʌ
горьковских	ɡ ʌ r ɪ^ k o f s kʲ i x
горького	ɡ o r ɪ^ k ʌ v ʌ
горькое	ɡ o r ɪ^ k ʌ j ɪ
горькой	ɡ o r ɪ^ k ʌ j
горьком	ɡ o r ɪ^ k ʌ m
горькому	ɡ o r ɪ^ k ʌ m u
горьконаивных	ɡ ʌ r ɪ^ k ʌ n ɑ i v n y x
горькосоленой	ɡ ʌ r ɪ^ k ʌ s o ɭʲ i n ʌ j
горькою	ɡ ʌ r ɪ^ k o ju
горькую	ɡ o r ɪ^ k u ju
горю	ɡ o rʲ u"
горюет	ɡ ʌ rʲ u" j i t
горюешь	ɡ ʌ rʲ u" j i ʃ
горюйте	ɡ ʌ rʲ u" j tʲ i
горюхино	ɡ ʌ rʲ u" x i n ʌ
горя	ɡ o rʲ ʌ
горят	ɡ ʌ rʲ ɑ t
горяч	ɡ ʌ rʲ ɑ tʃʲ
горячая	ɡ ʌ rʲ ɑ tʃʲ ʌ ja
горячаягорячая	ɡ ʌ rʲ ʌ tʃʲ ʌ ja ɡ o rʲ ʌ tʃʲ ʌ ja
горячего	ɡ ʌ rʲ ɑ tʃʲ i v ʌ
горячее	ɡ ʌ rʲ ɑ tʃʲ i j ɪ
горячей	ɡ ʌ rʲ ɑ tʃʲ i j
горячем	ɡ ʌ rʲ ɑ tʃʲ i m
горячечные	ɡ ʌ rʲ ɑ tʃʲ i tʃʲ n y j ɪ
горячешном	ɡ ʌ rʲ a tʃʲ e ʃ n ʌ m
горячи	ɡ ʌ rʲ a tʃʲ i
горячие	ɡ ʌ rʲ ɑ tʃʲ i j ɪ
горячий	ɡ ʌ rʲ ɑ tʃʲ i j
горячился	ɡ ʌ rʲ a tʃʲ i ɭ sʲ ʌ
горячим	ɡ ʌ rʲ ɑ tʃʲ i m
горячими	ɡ ʌ rʲ ɑ tʃʲ i mʲ ɪ
горячих	ɡ ʌ rʲ ɑ tʃʲ i x
горячка	ɡ ʌ rʲ ɑ tʃʲ k a
горячке	ɡ ʌ rʲ ɑ tʃʲ kʲ i
горячки	ɡ ʌ rʲ ɑ tʃʲ kʲ ɪ
горячкой	ɡ ʌ rʲ ɑ tʃʲ k ʌ j
горячкою	ɡ ʌ rʲ ɑ tʃʲ k ʌ ju
горячку	ɡ ʌ rʲ ɑ tʃʲ k u
горячностью	ɡ ʌ rʲ ɑ tʃʲ n ʌ s tʲ j ju
горячо	ɡ ʌ rʲ a tʃʲ o
горячусь	ɡ ʌ rʲ ɑ tʃʲ u sʲ
горячую	ɡ ʌ rʲ ɑ tʃʲ u ju
горящая	ɡ ʌ rʲ ɑ ɕ ʌ ja
горящей	ɡ ʌ rʲ ɑ ɕ i j
горящие	ɡ ʌ rʲ ɑ ɕ i j ɪ
горящим	ɡ ʌ rʲ ɑ ɕ i m
горящими	ɡ ʌ rʲ ɑ ɕ i mʲ ɪ
госпитале	ɡ o s pʲ i t ʌ ɭʲ i
госпиталем	ɡ o s pʲ i t ʌ ɭʲ i m
госпиталь	ɡ o s pʲ i t ʌ ɭ
госпитальном	ɡ ʌ s pʲ i t ɑ ɭ n ʌ m
господ	ɡ ʌ s p o t
господа	ɡ ʌ s p o d a
господам	ɡ ʌ s p ʌ d ɑ m
господами	ɡ ʌ s p ʌ d ɑ mʲ ɪ
господах	ɡ ʌ s p ʌ d ɑ x
господень	ɡ ʌ s p o dʲ i n
господи	ɡ o s p ʌ dʲ ɪ
господин	ɡ ʌ s p ʌ dʲ i n
господина	ɡ ʌ s p ʌ dʲ i n a
господине	ɡ ʌ s p ʌ dʲ i nʲ i
господином	ɡ ʌ s p ʌ dʲ i n ʌ m
господину	ɡ ʌ s p ʌ dʲ i n u
господне	ɡ ʌ s p o d nʲ i
господнего	ɡ ʌ s p o d nʲ i v ʌ
господним	ɡ ʌ s p o d nʲ i m
господню	ɡ ʌ s p o d nʲ u"
господня	ɡ ʌ s p o d nʲ ʌ
господом	ɡ o s p ʌ d ʌ m
господские	ɡ ʌ s p o d s kʲ i j ɪ
господский	ɡ ʌ s p o d s kʲ i j
господских	ɡ ʌ s p o d s kʲ i x
господского	ɡ ʌ s p o d s k ʌ v ʌ
господское	ɡ ʌ s p o d s k ʌ j ɪ
господской	ɡ ʌ s p o d s k ʌ j
господства	ɡ ʌ s p o d s t v a
господство	ɡ ʌ s p o d s t v ʌ
господствовавшего	ɡ ʌ s p o d s t v ʌ v ʌ f ʃ y v ʌ
господствовавших	ɡ ʌ s p o d s t v ʌ v ʌ f ʃ y x
господствовал	ɡ ʌ s p o d s t v ʌ v ʌ ɭ
господствовали	ɡ ʌ s p o d s t v ʌ v ʌ ɭʲ ɪ
господствовало	ɡ ʌ s p o d s t v ʌ v ʌ ɭ ʌ
господствовать	ɡ ʌ s p o d s t v ʌ v ʌ tʲ
господству	ɡ ʌ s p o d s t v u
господствует	ɡ ʌ s p o d s t v u j i t
господствуют	ɡ ʌ s p o d s t v u ju t
господствующая	ɡ ʌ s p o d s t v u ju ɕ ʌ ja
господствующего	ɡ ʌ s p o d s t v u ju ɕ i v ʌ
господствующей	ɡ ʌ s p o d s t v u ju ɕ i j
господствующем	ɡ ʌ s p o d s t v u ju ɕ i m
господствующим	ɡ ʌ s p o d s t v u ju ɕ i m
господствующих	ɡ ʌ s p o d s t v u ju ɕ i x
господу	ɡ ʌ s p o d u
господь	ɡ ʌ s p o tʲ
госпож	ɡ ʌ s p o ʃ
госпожа	ɡ ʌ s p ʌ ʒ ɑ
госпоже	ɡ ʌ s p ʌ ʒ ɛ
госпожи	ɡ ʌ s p ʌ ʒ i
госпожой	ɡ ʌ s p ʌ ʒ o j
госпожу	ɡ ʌ s p ʌ ʒ u
госте	ɡ o sʲ tʲ i
гостей	ɡ ʌ sʲ tʲ e j
гостем	ɡ o sʲ tʲ i m
гостеприимен	ɡ ʌ sʲ tʲ i p rʲ i i mʲ i n
гостеприимна	ɡ ʌ sʲ tʲ i p rʲ i i m n a
гостеприимной	ɡ ʌ sʲ tʲ i p rʲ i i m n ʌ j
гостеприимный	ɡ ʌ sʲ tʲ i p rʲ i i m n y j
гостеприимства	ɡ ʌ sʲ tʲ i p rʲ i i m s t v a
гостеприимство	ɡ ʌ sʲ tʲ i p rʲ i i m s t v ʌ
гостеприимством	ɡ ʌ sʲ tʲ i p rʲ i i m s t v ʌ m
гости	ɡ o sʲ tʲ ɪ
гостил	ɡ ʌ sʲ tʲ i ɭ
гостила	ɡ ʌ sʲ tʲ i ɭ a
гостиная	ɡ ʌ sʲ tʲ i n ʌ ja
гостиниц	ɡ ʌ sʲ tʲ i nʲ i ts
гостиница	ɡ ʌ sʲ tʲ i nʲ i ts a
гостинице	ɡ ʌ sʲ tʲ i nʲ i ts y
гостиницей	ɡ ʌ sʲ tʲ i nʲ i ts y j
гостиницу	ɡ ʌ sʲ tʲ i nʲ i ts u
гостиницы	ɡ ʌ sʲ tʲ i nʲ i ts y
гостиной	ɡ ʌ sʲ tʲ i n ʌ j
гостином	ɡ ʌ sʲ tʲ i n ʌ m
гостиную	ɡ ʌ sʲ tʲ i n u ju
гостинцами	ɡ ʌ sʲ tʲ i n ts ʌ mʲ ɪ
гостинцев	ɡ ʌ sʲ tʲ i n ts y f
гостинцы	ɡ ʌ sʲ tʲ i n ts y
гостиные	ɡ ʌ sʲ tʲ i n y j ɪ
гостиный	ɡ ʌ sʲ tʲ i n y j
гостиным	ɡ ʌ sʲ tʲ i n y m
гостиных	ɡ ʌ sʲ tʲ i n y x
гостит	ɡ ʌ sʲ tʲ i t
гостить	ɡ ʌ sʲ tʲ i tʲ
гость	ɡ o s tʲ
гостье	ɡ o s tʲ j j ɪ
гостьей	ɡ o s tʲ j j i j
гостьи	ɡ o s tʲ j ɪ
гостью	ɡ o s tʲ j ju
гостья	ɡ o s tʲ j ja
гостю	ɡ o sʲ tʲ u"
гостя	ɡ o sʲ tʲ ʌ
гостям	ɡ ʌ sʲ tʲ ɑ m
гостями	ɡ ʌ sʲ tʲ ɑ mʲ ɪ
гостят	ɡ ʌ sʲ tʲ ɑ t
гостях	ɡ ʌ sʲ tʲ ɑ x
государем	ɡ ʌ s u d ɑ rʲ i m
государств	ɡ ʌ s u d ɑ r s t f
государства	ɡ ʌ s u d ɑ r s t v a
государствах	ɡ ʌ s u d ɑ r s t v ʌ x
государстве	ɡ ʌ s u d ɑ r s t vʲ i
государственная	ɡ ʌ s u d ɑ r s t vʲ i n n ʌ ja
государственно	ɡ ʌ s u d ɑ r s t vʲ i n n ʌ
государственного	ɡ ʌ s u d ɑ r s t vʲ i n n ʌ v ʌ
государственное	ɡ ʌ s u d ɑ r s t vʲ i n n ʌ j ɪ
государственной	ɡ ʌ s u d ɑ r s t vʲ i n n ʌ j
государственному	ɡ ʌ s u d ɑ r s t vʲ i n n ʌ m u
государственности	ɡ ʌ s u d ɑ r s t vʲ i n n ʌ sʲ tʲ ɪ
государственность	ɡ ʌ s u d ɑ r s t vʲ i n n ʌ s tʲ
государственностью	ɡ ʌ s u d ɑ r s t vʲ i n n ʌ s tʲ j ju
государственную	ɡ ʌ s u d ɑ r s t vʲ i n n u ju
государственные	ɡ ʌ s u d ɑ r s t vʲ i n n y j ɪ
государственный	ɡ ʌ s u d ɑ r s t vʲ i n n y j
государственных	ɡ ʌ s u d ɑ r s t vʲ i n n y x
государство	ɡ ʌ s u d ɑ r s t v ʌ
государствоведов	ɡ ʌ s u d a r s t v o vʲ i d ʌ f
государством	ɡ ʌ s u d ɑ r s t v ʌ m
государству	ɡ ʌ s u d ɑ r s t v u
государыня	ɡ ʌ s u d ɑ r y nʲ ʌ
государь	ɡ ʌ s u d ɑ r ɪ^
государю	ɡ ʌ s u d ɑ rʲ u"
государя	ɡ ʌ s u d ɑ rʲ ʌ
готику	ɡ ʌ tʲ i k u
готическими	ɡ ʌ tʲ i tʃʲ i s kʲ i mʲ ɪ
готического	ɡ ʌ tʲ i tʃʲ i s k ʌ v ʌ
готической	ɡ ʌ tʲ i tʃʲ i s k ʌ j
готическом	ɡ ʌ tʲ i tʃʲ i s k ʌ m
готлиб	ɡ ʌ t ɭʲ i p
готлиба	ɡ ʌ t ɭʲ i b a
готов	ɡ ʌ t o f
готова	ɡ ʌ t o v a
готовая	ɡ ʌ t o v ʌ ja
готовил	ɡ ʌ t o vʲ i ɭ
готовила	ɡ ʌ t o vʲ i ɭ a
готовилась	ɡ ʌ t o vʲ i ɭ ʌ sʲ
готовили	ɡ ʌ t o vʲ i ɭʲ ɪ
готовились	ɡ ʌ t o vʲ i ɭʲ i sʲ
готовилось	ɡ ʌ t o vʲ i ɭ ʌ sʲ
готовился	ɡ ʌ t o vʲ i ɭ sʲ ʌ
готовим	ɡ ʌ t o vʲ i m
готовит	ɡ ʌ t o vʲ i t
готовится	ɡ ʌ t o vʲ i ts ʌ
готовить	ɡ ʌ t o vʲ i tʲ
готовиться	ɡ ʌ t o vʲ i tʲ sʲ ʌ
готовишь	ɡ ʌ t o vʲ i ʃ
готовишься	ɡ ʌ t o vʲ i ʃ sʲ ʌ
готовлю	ɡ ʌ t o v ɭʲ u"
готовлюсь	ɡ ʌ t o v ɭʲ u" sʲ
готовности	ɡ ʌ t o v n ʌ sʲ tʲ ɪ
готовность	ɡ ʌ t o v n ʌ s tʲ
готовностью	ɡ ʌ t o v n ʌ s tʲ j ju
готово	ɡ ʌ t o v ʌ
готового	ɡ ʌ t o v ʌ v ʌ
готовое	ɡ ʌ t o v ʌ j ɪ
готовом	ɡ ʌ t o v ʌ m
готовою	ɡ ʌ t o v ʌ ju
готовую	ɡ ʌ t o v u ju
готовы	ɡ ʌ t o v y
готовые	ɡ ʌ t o v y j ɪ
готовый	ɡ ʌ t o v y j
готовым	ɡ ʌ t o v y m
готовых	ɡ ʌ t o v y x
готовь	ɡ ʌ t o f
готовься	ɡ ʌ t o v sʲ ʌ
готовьте	ɡ ʌ t o v tʲ i
готовя	ɡ ʌ t o vʲ ʌ
готовясь	ɡ ʌ t o vʲ ʌ sʲ
готовят	ɡ ʌ t o vʲ ʌ t
готовятся	ɡ ʌ t o vʲ ʌ ts ʌ
готские	ɡ ʌ t s kʲ i j ɪ
готье	ɡ ʌ tʲ j j e
гоф	ɡ o f
гофман	ɡ o f m ʌ n
гофмана	ɡ o f m ʌ n a
гофмане	ɡ o f m ʌ nʲ i
гофманские	ɡ ʌ f m ɑ n s kʲ i j ɪ
гофману	ɡ ʌ f m ɑ n u
гоффредо	ɡ ʌ f f rʲ e d ʌ
гоффурьера	ɡ ʌ f f u r ɪ^ j j i r a
грабежам	ɡ r ʌ bʲ i ʒ ɑ m
грабежей	ɡ r ʌ bʲ i ʒ ɛ j
грабежом	ɡ r ʌ bʲ i ʒ o m
грабили	ɡ r ɑ bʲ i ɭʲ ɪ
грабит	ɡ r ɑ bʲ i t
грабители	ɡ r a bʲ i tʲ i ɭʲ ɪ
грабительскую	ɡ r ʌ bʲ i tʲ e ɭ s k u ju
грабить	ɡ r ɑ bʲ i tʲ
граблями	ɡ r a b ɭʲ ɑ mʲ ɪ
грабя	ɡ r ɑ bʲ ʌ
гравий	ɡ r ɑ vʲ i j
гравюрам	ɡ r a vʲ u" r ʌ m
гравюру	ɡ r a vʲ u" r u
гравюры	ɡ r a vʲ u" r y
град	ɡ r ɑ t
градацию	ɡ r a d ɑ ts y ju
граде	ɡ r ɑ dʲ i
градом	ɡ r ɑ d ʌ m
градская	ɡ r a d s k ɑ ja
градских	ɡ r ɑ d s kʲ i x
градское	ɡ r a d s k o j ɪ
градской	ɡ r ɑ d s k ʌ j
граду	ɡ r ɑ d u
градус	ɡ r ɑ d u s
грады	ɡ r ɑ d y
граждан	ɡ r ɑ ʒ d ʌ n
граждане	ɡ r ɑ ʒ d ʌ nʲ i
гражданин	ɡ r ʌ ʒ d a nʲ i n
гражданина	ɡ r ʌ ʒ d a nʲ i n a
гражданине	ɡ r ʌ ʒ d a nʲ i nʲ i
гражданином	ɡ r ʌ ʒ d a nʲ i n ʌ m
гражданская	ɡ r a ʒ d ɑ n s k ʌ ja
гражданские	ɡ r a ʒ d ɑ n s kʲ i j ɪ
гражданский	ɡ r a ʒ d ɑ n s kʲ i j
гражданских	ɡ r a ʒ d ɑ n s kʲ i x
гражданского	ɡ r a ʒ d ɑ n s k ʌ v ʌ
гражданское	ɡ r a ʒ d ɑ n s k ʌ j ɪ
гражданской	ɡ r a ʒ d ɑ n s k ʌ j
гражданскому	ɡ r a ʒ d ɑ n s k ʌ m u
гражданскую	ɡ r a ʒ d ɑ n s k u ju
гражданстве	ɡ r a ʒ d ɑ n s t vʲ i
гражданственности	ɡ r a ʒ d ɑ n s t vʲ i n n ʌ sʲ tʲ ɪ
гражданственность	ɡ r a ʒ d ɑ n s t vʲ i n n ʌ s tʲ
гракха	ɡ r ɑ k x a
гракхи	ɡ r ɑ k x ɪ
грамматика	ɡ r a m m ɑ tʲ i k a
грамматике	ɡ r a m m ɑ tʲ i kʲ i
грамматики	ɡ r a m m ɑ tʲ i kʲ ɪ
грамматику	ɡ r a m m ɑ tʲ i k u
грамматических	ɡ r ʌ m m a tʲ i tʃʲ i s kʲ i x
грамматической	ɡ r ʌ m m a tʲ i tʃʲ i s k ʌ j
граммофон	ɡ r ʌ m m ʌ f o n
граммофона	ɡ r ʌ m m ʌ f o n a
граммофонный	ɡ r ʌ m m ʌ f o n n y j
граммофоном	ɡ r ʌ m m ʌ f o n ʌ m
грамот	ɡ r ɑ m ʌ t
